step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,89.163353,-0.007812,0.406250
1,0.0010,88.708321,0.050000,0.906250
2,0.0010,89.367607,0.001563,0.906250
3,0.0010,89.273903,-0.039062,0.906250
4,0.0010,89.109184,-0.040625,0.906250
5,0.0010,89.116783,0.029687,0.906250
6,0.0010,89.497612,-0.015625,0.906250
7,0.0010,89.264420,0.060937,0.906250
8,0.0010,89.791618,0.040625,0.906250
9,0.0010,88.833725,-0.018750,0.906250
10,0.0010,89.187874,0.028125,0.906250
11,0.0010,89.514130,0.010937,0.906250
12,0.0010,89.404640,-0.004687,0.906250
13,0.0010,89.103386,-0.006250,0.906250
14,0.0010,89.320969,-0.012500,0.906250
15,0.0010,89.205521,0.015625,0.906250
16,0.0010,88.897766,0.029687,0.906250
17,0.0010,89.366371,-0.029687,0.906250
18,0.0010,89.128250,0.009375,0.906250
19,0.0010,88.979691,-0.010937,0.906250
20,0.0010,89.208427,0.014063,0.906250
21,0.0010,89.046616,0.000000,0.906250
22,0.0010,89.289391,0.067187,0.906250
23,0.0010,89.260643,-0.025000,0.906250
24,0.0010,88.765327,0.026562,0.906250
25,0.0010,89.009712,-0.059375,0.906250
26,0.0010,88.913719,0.004687,0.906250
27,0.0010,89.056793,-0.089063,0.906250
28,0.0010,88.883301,0.003125,0.906250
29,0.0010,88.827248,-0.001563,0.906250
30,0.0010,89.450539,0.007812,0.906250
31,0.0010,89.396194,0.042188,0.906250
32,0.0010,89.235916,0.021875,0.906250
33,0.0010,89.124756,-0.062500,0.906250
34,0.0010,89.459450,0.009375,0.906250
35,0.0010,88.927696,-0.009375,0.906250
36,0.0010,89.585442,0.010937,0.906250
37,0.0010,89.715263,-0.004687,0.906250
38,0.0010,89.082054,-0.035937,0.906250
39,0.0010,89.273804,-0.048438,0.906250
40,0.0010,89.114166,-0.046875,0.906250
41,0.0010,88.941307,-0.018750,0.906250
42,0.0010,89.512688,-0.012500,0.906250
43,0.0010,89.310074,-0.023438,0.906250
44,0.0010,89.396179,0.053125,0.906250
45,0.0010,88.906555,0.000000,0.906250
46,0.0010,89.330444,0.021875,0.906250
47,0.0010,89.158218,-0.032813,0.906250
48,0.0010,89.165245,-0.015625,0.906250
49,0.0010,89.320457,0.051562,0.906250
50,0.0010,89.295738,-0.062500,0.906250
51,0.0121,89.025612,0.023438,0.906250
52,0.0233,89.425575,0.070312,0.906250
53,0.0344,89.054878,0.035937,0.906250
54,0.0455,88.957825,0.081250,0.906250
55,0.0567,89.420418,0.035937,0.906250
56,0.0678,89.461807,0.071875,0.906250
57,0.0789,88.958878,0.096875,0.906250
58,0.0901,89.044479,0.081250,0.906250
59,0.1012,89.701675,0.106250,0.906250
60,0.1123,89.162399,0.139063,0.906250
61,0.1235,89.071190,0.123438,0.906250
62,0.1346,89.410927,0.100000,0.906250
63,0.1457,88.751129,0.148438,0.906250
