graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.783477,0.973420,0.978801,7.08
1,0.746021,0.926884,0.932008,6.90
2,0.864640,1.074261,1.080199,7.22
3,0.807760,1.003591,1.009138,7.06
4,0.864978,1.074681,1.080621,7.15
5,0.807906,1.003772,1.009320,6.75
6,0.906665,1.126474,1.132700,7.11
7,0.747235,0.928392,0.933524,6.87
8,0.865806,1.075709,1.081655,6.81
9,0.779156,0.968052,0.973403,6.75
10,0.646907,0.803741,0.808183,7.07
11,0.682878,0.848433,0.853123,4.50
12,0.977246,1.214167,1.220878,3.98
13,0.885168,1.099766,1.105845,4.00
14,0.705095,0.876036,0.880878,4.01
15,0.766089,0.951817,0.957078,4.19
16,0.767259,0.953271,0.958540,4.11
17,0.837337,1.040339,1.046089,4.19
18,0.821268,1.020373,1.026013,4.08
19,0.780603,0.969851,0.975211,4.13
20,0.712863,0.885687,0.890582,4.23
21,0.835097,1.037556,1.043291,4.13
22,0.735557,0.913883,0.918935,4.29
23,0.826938,1.027418,1.033097,4.21
24,0.788882,0.980136,0.985554,5.55
25,0.700435,0.870246,0.875056,7.04
26,0.775813,0.963899,0.969227,7.18
27,0.857866,1.065845,1.071736,7.19
28,0.776736,0.965045,0.970380,7.17
29,0.756790,0.940263,0.945461,7.11
30,0.894430,1.111273,1.117415,7.01
31,0.780230,0.969387,0.974745,7.09
32,0.842098,1.046253,1.052037,7.01
33,1.022416,1.270287,1.277309,7.40
34,0.800451,0.994510,1.000007,7.42
35,0.992109,1.232633,1.239447,7.34
36,0.800023,0.993978,0.999472,7.46
37,0.768921,0.955335,0.960616,7.46
38,0.732415,0.909980,0.915010,6.96
39,0.717850,0.891884,0.896814,7.08
40,0.837719,1.040813,1.046566,7.53
41,0.807008,1.002657,1.008199,7.15
42,0.830732,1.032132,1.037837,7.02
43,0.839197,1.042650,1.048413,7.34
44,0.759516,0.943651,0.948867,7.25
45,0.740937,0.920568,0.925656,7.99
46,0.803751,0.998610,1.004130,7.14
47,0.818962,1.017509,1.023133,6.92
48,0.837364,1.040372,1.046122,7.09
49,0.736978,0.915648,0.920710,7.47
