graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.692784,1.012955,1.067055,25.42
1,0.705346,1.031324,1.086405,31.83
2,0.666559,0.974612,1.026664,37.33
3,0.624653,0.913338,0.962117,25.09
4,0.639637,0.935247,0.985197,22.85
5,0.661524,0.967250,1.018909,22.85
6,0.705266,1.031207,1.086281,31.15
7,0.684379,1.000667,1.054110,30.29
8,0.679360,0.993328,1.046379,24.98
9,0.690186,1.009158,1.063055,24.39
10,0.638647,0.933800,0.983672,24.09
11,0.638858,0.934108,0.983997,22.78
12,0.594396,0.869098,0.915515,22.64
13,0.721798,1.055378,1.111744,23.79
14,0.669486,0.978891,1.031171,22.89
15,0.603276,0.882081,0.929192,22.92
16,0.671956,0.982502,1.034975,34.44
17,0.671781,0.982247,1.034707,25.77
18,0.707642,1.034680,1.089940,39.91
19,0.628160,0.918466,0.967520,36.05
20,0.683410,0.999249,1.052617,24.59
21,0.685520,1.002335,1.055868,23.60
22,0.710174,1.038383,1.093841,23.38
23,0.690333,1.009372,1.063280,37.30
24,0.669516,0.978935,1.031218,26.24
25,0.695164,1.016436,1.070722,23.00
26,0.654490,0.956964,1.008074,23.22
27,0.633483,0.926249,0.975718,23.53
28,0.641577,0.938084,0.988185,22.44
29,0.688507,1.006702,1.060468,24.69
30,0.656612,0.960067,1.011342,22.66
31,0.678835,0.992560,1.045571,23.56
32,0.680598,0.995138,1.048287,24.63
33,0.716015,1.046923,1.102837,33.90
34,0.635707,0.929501,0.979144,39.96
35,0.715280,1.045849,1.101705,23.97
36,0.604584,0.883994,0.931207,24.22
37,0.656242,0.959526,1.010773,22.74
38,0.670909,0.980972,1.033364,22.90
39,0.613425,0.896921,0.944824,40.01
40,0.682903,0.998508,1.051837,39.62
41,0.647684,0.947012,0.997591,32.99
42,0.653306,0.955234,1.006251,22.17
43,0.699810,1.023230,1.077879,22.98
44,0.702163,1.026670,1.081503,23.74
45,0.639434,0.934951,0.984885,24.52
46,0.657685,0.961636,1.012995,22.77
47,0.687875,1.005779,1.059495,30.26
48,0.628312,0.918689,0.967754,39.57
49,0.700494,1.024229,1.078931,39.33
