step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,17.309650,-0.008000,0.680000
1,0.0010,17.345549,0.040000,0.680000
2,0.0010,17.435150,0.040000,0.680000
3,0.0010,17.333771,0.016000,0.680000
4,0.0010,17.355030,0.040000,0.680000
5,0.0010,17.352028,0.016000,0.680000
6,0.0010,17.316288,0.040000,0.680000
7,0.0010,17.297009,-0.048000,0.680000
8,0.0010,17.329428,0.024000,0.680000
9,0.0010,17.376905,-0.008000,0.680000
10,0.0010,17.382521,0.016000,0.680000
11,0.0010,17.260855,0.056000,0.680000
12,0.0010,17.296898,0.064000,0.680000
13,0.0010,17.280319,0.064000,0.680000
14,0.0010,17.306477,0.016000,0.680000
15,0.0010,17.397551,0.000000,0.680000
16,0.0010,17.403793,-0.048000,0.680000
17,0.0010,17.415159,-0.032000,0.680000
18,0.0010,17.358515,0.024000,0.680000
19,0.0010,17.338156,0.000000,0.680000
20,0.0010,17.335768,-0.008000,0.680000
21,0.0010,17.319952,-0.032000,0.680000
22,0.0010,17.361439,0.056000,0.680000
23,0.0010,17.367970,-0.056000,0.680000
24,0.0010,17.242268,0.048000,0.680000
25,0.0010,17.361441,-0.016000,0.680000
26,0.0010,17.389486,-0.040000,0.680000
27,0.0010,17.316284,-0.032000,0.680000
28,0.0010,17.347401,0.016000,0.680000
29,0.0010,17.308905,0.016000,0.680000
30,0.0010,17.342585,-0.072000,0.680000
31,0.0010,17.289862,-0.064000,0.680000
32,0.0010,17.422180,-0.032000,0.680000
33,0.0010,17.303888,-0.056000,0.680000
34,0.0010,17.390799,-0.008000,0.680000
35,0.0010,17.385839,0.016000,0.680000
36,0.0010,17.466681,0.024000,0.680000
37,0.0010,17.313042,0.056000,0.680000
38,0.0010,17.325861,0.040000,0.680000
39,0.0010,17.329584,-0.064000,0.680000
40,0.0010,17.363886,0.032000,0.680000
41,0.0010,17.287176,0.024000,0.680000
42,0.0010,17.254036,-0.008000,0.680000
43,0.0010,17.405231,-0.024000,0.680000
44,0.0010,17.333458,0.016000,0.680000
45,0.0010,17.320440,-0.016000,0.680000
46,0.0010,17.398407,-0.016000,0.680000
47,0.0010,17.273325,0.016000,0.680000
48,0.0010,17.329206,0.056000,0.680000
49,0.0010,17.374073,-0.048000,0.680000
50,0.0010,17.359919,0.128000,0.680000
51,0.0121,17.333952,-0.008000,0.680000
52,0.0233,17.347675,0.016000,0.680000
53,0.0344,17.409084,0.080000,0.680000
54,0.0455,17.349430,-0.016000,0.680000
55,0.0567,17.371359,0.080000,0.680000
56,0.0678,17.387211,0.040000,0.680000
57,0.0789,17.272141,0.104000,0.680000
58,0.0901,17.322498,0.080000,0.680000
59,0.1012,17.385015,0.152000,0.680000
60,0.1123,17.337194,0.152000,0.680000
61,0.1235,17.325939,0.168000,0.680000
62,0.1346,17.373259,0.112000,0.680000
63,0.1457,17.395563,0.144000,0.680000
64,0.1569,17.349176,0.232000,0.680000
65,0.1680,17.340139,0.120000,0.680000
66,0.1791,17.377638,0.176000,0.680000
67,0.1903,17.351379,0.192000,0.680000
68,0.2014,17.340780,0.208000,0.680000
69,0.2125,17.416739,0.208000,0.680000
70,0.2237,17.380217,0.256000,0.680000
71,0.2348,17.350525,0.192000,0.680000
72,0.2459,17.318378,0.192000,0.680000
73,0.2571,17.355810,0.288000,0.680000
74,0.2682,17.296911,0.224000,0.680000
75,0.2793,17.366627,0.264000,0.680000
76,0.2905,17.323483,0.328000,0.680000
77,0.3016,17.374426,0.280000,0.680000
78,0.3127,17.334272,0.368000,0.680000
79,0.3239,17.450232,0.344000,0.680000
80,0.3350,17.336889,0.248000,0.680000
81,0.3461,17.323765,0.288000,0.680000
82,0.3573,17.360706,0.304000,0.680000
83,0.3684,17.356951,0.336000,0.680000
84,0.3795,17.344191,0.344000,0.680000
85,0.3907,17.340286,0.328000,0.680000
86,0.4018,17.442659,0.416000,0.680000
87,0.4129,17.303228,0.432000,0.680000
88,0.4241,17.350126,0.416000,0.680000
89,0.4352,17.384926,0.416000,0.680000
90,0.4463,17.339001,0.400000,0.680000
91,0.4575,17.363943,0.408000,0.680000
92,0.4686,17.367182,0.392000,0.680000
93,0.4797,17.375937,0.480000,0.680000
94,0.4909,17.368250,0.400000,0.680000
95,0.5020,17.341309,0.432000,0.680000
96,0.5131,17.346598,0.504000,0.680000
97,0.5243,17.324251,0.480000,0.680000
98,0.5354,17.281309,0.496000,0.680000
99,0.5465,17.371628,0.472000,0.680000
100,0.5577,17.433851,0.464000,0.680000
101,0.5688,17.326420,0.496000,0.680000
102,0.5799,17.302160,0.512000,0.680000
103,0.5911,17.434010,0.488000,0.680000
104,0.6022,17.308146,0.488000,0.680000
105,0.6133,17.352232,0.496000,0.680000
106,0.6245,17.391798,0.528000,0.680000
107,0.6356,17.313856,0.496000,0.680000
108,0.6468,17.323858,0.552000,0.680000
109,0.6579,17.335897,0.520000,0.680000
110,0.6690,17.336775,0.544000,0.680000
111,0.6802,17.378193,0.544000,0.680000
112,0.6913,17.339380,0.576000,0.680000
113,0.7024,17.379793,0.520000,0.680000
114,0.7136,17.309759,0.568000,0.680000
115,0.7247,17.404734,0.536000,0.680000
116,0.7358,17.314245,0.536000,0.680000
117,0.7470,17.412415,0.592000,0.680000
118,0.7581,17.348328,0.584000,0.680000
119,0.7692,17.319870,0.624000,0.680000
120,0.7804,17.253712,0.568000,0.680000
121,0.7915,17.401672,0.552000,0.680000
122,0.8026,17.364491,0.592000,0.680000
123,0.8138,17.379374,0.624000,0.680000
124,0.8249,17.298954,0.584000,0.680000
125,0.8360,17.392191,0.600000,0.680000
126,0.8472,17.327133,0.584000,0.680000
127,0.8583,17.310621,0.616000,0.680000
128,0.8694,17.373728,0.560000,0.680000
129,0.8806,17.375927,0.600000,0.680000
130,0.8917,17.391064,0.608000,0.680000
131,0.9028,17.274591,0.640000,0.680000
132,0.9140,17.310366,0.616000,0.680000
133,0.9251,17.384680,0.632000,0.680000
134,0.9362,17.381460,0.624000,0.680000
135,0.9474,17.400015,0.640000,0.680000
136,0.9585,17.323532,0.608000,0.680000
137,0.9696,17.322309,0.624000,0.680000
138,0.9808,17.320581,0.640000,0.680000
139,0.9919,17.343903,0.656000,0.680000
140,1.0030,17.343046,0.624000,0.680000
141,1.0142,17.282749,0.656000,0.680000
142,1.0253,17.312550,0.632000,0.680000
143,1.0364,17.331907,0.632000,0.680000
144,1.0476,17.373880,0.664000,0.680000
145,1.0587,17.337187,0.648000,0.680000
146,1.0698,17.356508,0.640000,0.680000
147,1.0810,17.345007,0.648000,0.680000
148,1.0921,17.335011,0.648000,0.680000
149,1.1032,17.317110,0.672000,0.680000
150,1.1144,17.307438,0.656000,0.680000
151,1.1255,17.326080,0.640000,0.680000
152,1.1366,17.281790,0.632000,0.680000
153,1.1478,17.306410,0.648000,0.680000
154,1.1589,17.276886,0.664000,0.680000
155,1.1700,17.345999,0.640000,0.680000
156,1.1812,17.362829,0.664000,0.680000
157,1.1923,17.287119,0.664000,0.680000
158,1.2034,17.290115,0.656000,0.680000
159,1.2146,17.349649,0.656000,0.680000
160,1.2257,17.331053,0.680000,0.680000
