graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.680000,0.898520,0.887265,10.30
1,0.760000,1.004228,0.991649,10.37
2,0.760000,1.004228,0.991649,10.15
3,0.840000,1.109937,1.096033,9.82
4,0.760000,1.004228,0.991649,9.71
5,0.600000,0.792812,0.782881,9.97
6,0.840000,1.109937,1.096033,10.90
7,0.760000,1.004228,0.991649,10.43
8,0.920000,1.215645,1.200418,10.17
9,0.840000,1.109937,1.096033,9.72
10,0.760000,1.004228,0.991649,9.84
11,0.760000,1.004228,0.991649,10.59
12,0.680000,0.898520,0.887265,10.14
13,0.680000,0.898520,0.887265,10.30
14,0.680000,0.898520,0.887265,9.79
15,0.840000,1.109937,1.096033,9.62
16,0.840000,1.109937,1.096033,10.21
17,0.760000,1.004228,0.991649,8.96
18,0.680000,0.898520,0.887265,8.66
19,0.600000,0.792812,0.782881,8.22
20,0.760000,1.004228,0.991649,8.42
21,0.840000,1.109937,1.096033,8.50
22,0.840000,1.109937,1.096033,8.98
23,0.920000,1.215645,1.200418,8.42
24,0.680000,0.898520,0.887265,8.28
25,0.760000,1.004228,0.991649,8.76
26,0.840000,1.109937,1.096033,8.81
27,0.840000,1.109937,1.096033,8.94
28,0.760000,1.004228,0.991649,8.97
29,0.920000,1.215645,1.200418,8.74
30,0.600000,0.792812,0.782881,8.89
31,0.840000,1.109937,1.096033,8.75
32,0.680000,0.898520,0.887265,9.20
33,0.840000,1.109937,1.096033,8.98
34,0.760000,1.004228,0.991649,8.65
35,0.680000,0.898520,0.887265,8.32
36,0.920000,1.215645,1.200418,8.46
37,0.760000,1.004228,0.991649,8.45
38,0.680000,0.898520,0.887265,8.12
39,0.760000,1.004228,0.991649,8.68
40,0.680000,0.898520,0.887265,8.38
41,0.680000,0.898520,0.887265,8.40
42,0.760000,1.004228,0.991649,8.26
43,0.840000,1.109937,1.096033,8.22
44,0.680000,0.898520,0.887265,8.54
45,0.760000,1.004228,0.991649,8.32
46,0.920000,1.215645,1.200418,8.70
47,0.760000,1.004228,0.991649,8.30
48,0.760000,1.004228,0.991649,8.49
49,0.760000,1.004228,0.991649,8.43
