graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.667800,0.997784,1.040446,158.95
1,0.655315,0.979130,1.020995,160.95
2,0.646781,0.966379,1.007698,161.06
3,0.635434,0.949426,0.990020,161.22
4,0.653110,0.975836,1.017560,158.89
5,0.655454,0.979337,1.021210,161.64
6,0.652877,0.975487,1.017195,161.12
7,0.649783,0.970864,1.012375,160.71
8,0.646597,0.966104,1.007412,159.60
9,0.674197,1.007342,1.050412,160.02
10,0.631682,0.943819,0.984173,161.43
11,0.665584,0.994474,1.036994,158.23
12,0.657710,0.982708,1.024725,159.88
13,0.645217,0.964042,1.005261,160.09
14,0.658610,0.984053,1.026128,161.03
15,0.661800,0.988820,1.031098,159.14
16,0.648476,0.968912,1.010339,160.43
17,0.683193,1.020784,1.064429,161.92
18,0.659494,0.985374,1.027505,161.36
19,0.635351,0.949302,0.989891,160.30
20,0.656111,0.980320,1.022235,159.32
21,0.650700,0.972235,1.013804,162.62
22,0.662180,0.989387,1.031690,161.12
23,0.669214,0.999897,1.042649,161.27
24,0.636579,0.951136,0.991803,161.89
25,0.653704,0.976724,1.018485,158.04
26,0.643390,0.961312,1.002415,160.55
27,0.639726,0.955838,0.996706,162.87
28,0.643193,0.961018,1.002107,162.18
29,0.648727,0.969287,1.010730,164.86
30,0.647273,0.967114,1.008464,159.83
31,0.662077,0.989234,1.031530,162.04
32,0.635538,0.949580,0.990181,159.96
33,0.659221,0.984966,1.027080,158.99
34,0.635849,0.950046,0.990666,160.46
35,0.647738,0.967809,1.009189,160.38
36,0.642632,0.960179,1.001233,161.12
37,0.643681,0.961747,1.002868,163.39
38,0.633275,0.946200,0.986656,159.46
39,0.649010,0.969710,1.011171,159.24
40,0.642098,0.959382,1.000402,159.10
41,0.665990,0.995080,1.037626,161.05
42,0.690643,1.031914,1.076035,159.23
43,0.664784,0.993278,1.035747,158.71
44,0.661015,0.987646,1.029875,162.73
45,0.656435,0.980804,1.022740,164.25
46,0.662241,0.989479,1.031785,161.73
47,0.660310,0.986593,1.028776,161.75
48,0.651033,0.972732,1.014323,162.29
49,0.676256,1.010419,1.053621,161.79
