graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.756441,0.977568,0.977620,12.79
1,0.757903,0.979458,0.979510,12.78
2,0.646471,0.835451,0.835495,12.51
3,0.950904,1.228877,1.228942,12.75
4,0.960061,1.240711,1.240777,12.32
5,0.747856,0.966473,0.966525,16.20
6,0.669684,0.865450,0.865496,15.19
7,0.857706,1.108435,1.108494,15.80
8,0.843507,1.090085,1.090143,15.36
9,0.734825,0.949633,0.949684,14.73
10,0.806212,1.041888,1.041944,14.77
11,0.727797,0.940551,0.940601,14.11
12,0.814002,1.051956,1.052012,13.41
13,0.911793,1.178333,1.178396,13.07
14,0.852383,1.101556,1.101615,13.06
15,0.817765,1.056818,1.056874,12.74
16,0.668423,0.863820,0.863866,13.09
17,0.838315,1.083376,1.083434,13.10
18,0.776163,1.003055,1.003108,13.16
19,0.772895,0.998832,0.998885,12.81
20,0.819565,1.059144,1.059201,13.48
21,0.761388,0.983960,0.984013,13.76
22,0.767590,0.991976,0.992029,14.21
23,0.802617,1.037242,1.037297,19.58
24,0.683832,0.883733,0.883780,29.24
25,0.677619,0.875704,0.875750,31.89
26,0.660826,0.854003,0.854048,26.18
27,0.665157,0.859600,0.859646,33.73
28,0.846116,1.093457,1.093515,26.51
29,0.700353,0.905084,0.905132,24.50
30,0.729210,0.942377,0.942427,23.75
31,0.987959,1.276764,1.276832,22.75
32,0.787561,1.017785,1.017839,20.53
33,0.779094,1.006843,1.006897,20.77
34,0.777096,1.004260,1.004314,20.22
35,0.783297,1.012274,1.012328,26.40
36,0.663081,0.856916,0.856962,30.69
37,0.923540,1.193514,1.193578,47.69
38,0.710811,0.918599,0.918648,19.36
39,0.716284,0.925672,0.925721,20.92
40,0.770785,0.996104,0.996157,20.70
41,0.686225,0.886826,0.886873,19.87
42,0.686590,0.887297,0.887344,20.58
43,0.760676,0.983041,0.983094,20.20
44,0.741342,0.958055,0.958106,20.69
45,0.863775,1.116278,1.116337,20.38
46,0.654094,0.845302,0.845347,18.96
47,0.813151,1.050855,1.050911,19.46
48,0.707409,0.914202,0.914251,19.43
49,0.851802,1.100805,1.100864,19.95
