step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,361.000824,0.001523,0.283394
1,0.0010,361.663544,-0.003555,0.815032
2,0.0010,359.163605,0.008802,0.815032
3,0.0010,361.465179,-0.001413,0.815032
4,0.0010,361.882782,0.009480,0.815032
5,0.0010,361.098969,-0.001248,0.815032
6,0.0010,360.427094,-0.015133,0.815032
7,0.0010,361.473846,0.011660,0.815032
8,0.0010,361.301117,0.010935,0.815032
9,0.0010,363.845886,-0.001297,0.815032
10,0.0010,361.105865,-0.020571,0.815032
11,0.0010,360.787781,-0.010944,0.815032
12,0.0010,361.795135,-0.005668,0.815032
13,0.0010,361.564941,-0.008818,0.815032
14,0.0010,361.988342,-0.009245,0.815032
15,0.0010,361.777252,-0.008573,0.815032
16,0.0010,361.522919,0.022380,0.815032
17,0.0010,360.280670,-0.004875,0.815032
18,0.0010,360.594086,0.016879,0.815032
19,0.0010,362.459808,0.015989,0.815032
20,0.0010,362.056793,-0.007109,0.815032
21,0.0010,362.808655,-0.004960,0.815032
22,0.0010,362.999481,-0.003918,0.815032
23,0.0010,361.150452,0.002185,0.815032
24,0.0010,361.339508,-0.009108,0.815032
25,0.0010,362.781555,-0.014231,0.815032
26,0.0010,362.705109,-0.004347,0.815032
27,0.0010,362.086182,0.028795,0.815032
28,0.0010,362.379242,0.020201,0.815032
29,0.0010,362.028900,-0.003536,0.815032
30,0.0010,361.359100,-0.017792,0.815032
31,0.0010,362.795502,0.002549,0.815032
32,0.0010,361.608643,0.009051,0.815032
33,0.0010,361.801422,-0.008447,0.815032
34,0.0010,361.019592,0.000820,0.815032
35,0.0010,362.907562,-0.009878,0.815032
36,0.0010,362.629456,0.001661,0.815032
37,0.0010,363.599945,0.014633,0.815032
38,0.0010,361.811401,-0.029022,0.815032
39,0.0010,362.312378,-0.007916,0.815032
40,0.0010,362.379425,0.009838,0.815032
41,0.0010,362.476654,0.038735,0.815032
42,0.0010,361.464691,-0.032094,0.815032
43,0.0010,362.349182,-0.017004,0.815032
44,0.0010,361.164398,0.011865,0.815032
45,0.0010,362.078369,-0.011126,0.815032
46,0.0010,363.341858,0.037853,0.815032
47,0.0010,361.126434,-0.003026,0.815032
48,0.0010,361.017151,0.012672,0.815032
49,0.0010,361.752655,0.028715,0.815032
50,0.0010,361.909180,0.004615,0.815032
51,0.0121,363.558472,0.018662,0.815032
52,0.0233,362.468262,0.034221,0.815032
53,0.0344,362.403198,0.027918,0.815032
54,0.0455,362.618011,0.043336,0.815032
55,0.0567,361.043213,0.039193,0.815032
56,0.0678,362.402008,0.080693,0.815032
57,0.0789,362.408173,0.072256,0.815032
58,0.0901,363.190460,0.095647,0.815032
59,0.1012,362.940979,0.114936,0.815032
60,0.1123,361.034149,0.110158,0.815032
61,0.1235,363.209930,0.088578,0.815032
62,0.1346,363.410217,0.110900,0.815032
63,0.1457,362.365936,0.170298,0.815032
64,0.1569,362.304840,0.144776,0.815032
65,0.1680,362.214661,0.181006,0.815032
66,0.1791,361.015778,0.183822,0.815032
67,0.1903,362.794556,0.182861,0.815032
68,0.2014,360.664825,0.219963,0.815032
69,0.2125,363.215973,0.227197,0.815032
70,0.2237,362.800323,0.190387,0.815032
71,0.2348,362.211639,0.224341,0.815032
72,0.2459,362.172241,0.240522,0.815032
73,0.2571,363.007996,0.254112,0.815032
74,0.2682,361.070526,0.286181,0.815032
75,0.2793,363.927460,0.260777,0.815032
76,0.2905,363.080139,0.303162,0.815032
77,0.3016,362.941681,0.287909,0.815032
78,0.3127,363.224701,0.309944,0.815032
79,0.3239,364.314667,0.307989,0.815032
80,0.3350,362.426727,0.324131,0.815032
81,0.3461,364.853363,0.337285,0.815032
82,0.3573,363.791412,0.324543,0.815032
83,0.3684,361.374786,0.372262,0.815032
84,0.3795,362.546265,0.354515,0.815032
85,0.3907,363.607330,0.372317,0.815032
86,0.4018,363.455872,0.366597,0.815032
87,0.4129,361.115692,0.369091,0.815032
88,0.4241,360.999573,0.387635,0.815032
89,0.4352,362.521820,0.397986,0.815032
90,0.4463,361.318085,0.374656,0.815032
91,0.4575,362.893890,0.377440,0.815032
92,0.4686,362.488220,0.409745,0.815032
93,0.4797,362.559357,0.413310,0.815032
94,0.4909,363.305573,0.412458,0.815032
95,0.5020,360.641571,0.437686,0.815032
96,0.5131,362.405731,0.450783,0.815032
97,0.5243,363.504150,0.480984,0.815032
98,0.5354,361.747375,0.443923,0.815032
99,0.5465,362.613739,0.460153,0.815032
100,0.5577,363.221741,0.473367,0.815032
101,0.5688,362.887787,0.463394,0.815032
102,0.5799,362.287567,0.490951,0.815032
103,0.5911,362.240875,0.483319,0.815032
104,0.6022,363.036041,0.509446,0.815032
105,0.6133,363.936066,0.489909,0.815032
106,0.6245,362.824707,0.523810,0.815032
107,0.6356,361.562286,0.514409,0.815032
108,0.6468,361.630402,0.503630,0.815032
109,0.6579,362.842377,0.509524,0.815032
110,0.6690,361.638855,0.515683,0.815032
111,0.6802,362.271942,0.524664,0.815032
112,0.6913,363.274628,0.508816,0.815032
113,0.7024,363.160400,0.526618,0.815032
114,0.7136,362.590302,0.535620,0.815032
115,0.7247,361.124359,0.561319,0.815032
116,0.7358,362.259979,0.548598,0.815032
117,0.7470,362.521729,0.558091,0.815032
118,0.7581,361.342316,0.568668,0.815032
119,0.7692,362.850922,0.561457,0.815032
120,0.7804,362.479095,0.587818,0.815032
121,0.7915,361.783264,0.577806,0.815032
122,0.8026,361.541901,0.569613,0.815032
123,0.8138,362.042297,0.587573,0.815032
124,0.8249,361.584045,0.592324,0.815032
125,0.8360,362.866821,0.596382,0.815032
126,0.8472,363.760864,0.587812,0.815032
127,0.8583,361.796143,0.598694,0.815032
128,0.8694,363.916534,0.601550,0.815032
129,0.8806,362.807037,0.591897,0.815032
130,0.8917,362.374847,0.615986,0.815032
131,0.9028,362.721771,0.620945,0.815032
132,0.9140,362.897552,0.614001,0.815032
133,0.9251,361.650177,0.629024,0.815032
134,0.9362,362.067535,0.636079,0.815032
135,0.9474,361.884216,0.624572,0.815032
136,0.9585,360.640015,0.619639,0.815032
137,0.9696,362.351562,0.633322,0.815032
138,0.9808,361.779358,0.631261,0.815032
139,0.9919,360.996613,0.639686,0.815032
140,1.0030,362.106018,0.639821,0.815032
141,1.0142,363.308197,0.653042,0.815032
142,1.0253,361.959808,0.654028,0.815032
143,1.0364,361.836609,0.646970,0.815032
144,1.0476,362.320160,0.659026,0.815032
145,1.0587,360.799652,0.662739,0.815032
146,1.0698,361.971680,0.644916,0.815032
147,1.0810,360.714966,0.668902,0.815032
148,1.0921,361.630371,0.671987,0.815032
149,1.1032,360.897858,0.654681,0.815032
150,1.1144,360.757904,0.666304,0.815032
151,1.1255,360.699188,0.668539,0.815032
152,1.1366,361.287598,0.670895,0.815032
153,1.1478,361.213715,0.673411,0.815032
154,1.1589,363.144653,0.666587,0.815032
155,1.1700,361.172272,0.691189,0.815032
156,1.1812,359.001953,0.676614,0.815032
157,1.1923,361.197021,0.676797,0.815032
158,1.2034,360.497528,0.679766,0.815032
159,1.2146,359.703644,0.681650,0.815032
160,1.2257,359.876556,0.702556,0.815032
161,1.2368,359.297852,0.684136,0.815032
162,1.2480,358.744110,0.687394,0.815032
