graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.717451,1.0,1.017927,642.3
1,0.716487,1.0,1.016559,653.51
2,0.728034,1.0,1.032942,575.66
3,0.71341,1.0,1.012194,596.95
4,0.710223,1.0,1.007671,660.48
5,0.71477,1.0,1.014123,660.1
6,0.712844,1.0,1.01139,583.43
7,0.722419,1.0,1.024976,657.54
8,0.718707,1.0,1.019709,635.41
9,0.719408,1.0,1.020703,657.1
10,0.72623,1.0,1.030382,612.34
11,0.717064,1.0,1.017378,652.8
12,0.724352,1.0,1.027718,659.08
13,0.728011,1.0,1.032909,621.29
14,0.718235,1.0,1.019039,632.96
15,0.724163,1.0,1.02745,611.89
16,0.719298,1.0,1.020547,684.62
17,0.725093,1.0,1.028769,628.6
18,0.71269,1.0,1.011171,603.25
19,0.712322,1.0,1.010649,609.77
20,0.718555,1.0,1.019493,636.41
21,0.716082,1.0,1.015984,656.22
22,0.717932,1.0,1.018609,590.16
23,0.719409,1.0,1.020704,690.82
24,0.724078,1.0,1.02733,642.16
25,0.718474,1.0,1.019378,647.15
26,0.716405,1.0,1.016443,629.33
27,0.718753,1.0,1.019774,633.01
28,0.716677,1.0,1.016829,627.71
29,0.715858,1.0,1.015666,664.58
30,0.712483,1.0,1.010878,632.15
31,0.720845,1.0,1.022742,656.65
32,0.717673,1.0,1.018242,618.68
33,0.725302,1.0,1.029066,638.59
34,0.713306,1.0,1.012046,606.98
35,0.717806,1.0,1.01843,670.87
36,0.72951,1.0,1.035036,606.04
37,0.71583,1.0,1.015627,622.12
38,0.719324,1.0,1.020585,622.44
39,0.714457,1.0,1.013679,621.21
40,0.713798,1.0,1.012744,655.25
41,0.72819,1.0,1.033163,622.39
42,0.72135,1.0,1.023459,676.48
43,0.721164,1.0,1.023195,606.52
44,0.712069,1.0,1.010291,637.76
45,0.722283,1.0,1.024782,607.87
46,0.726252,1.0,1.030414,645.71
47,0.726213,1.0,1.030358,631.9
48,0.723821,1.0,1.026965,627.5
49,0.714886,1.0,1.014288,669.98
