step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,139.277390,0.049000,0.340000
1,0.0010,139.984406,0.006000,0.880000
2,0.0010,139.151489,0.027000,0.880000
3,0.0010,139.588501,0.046000,0.880000
4,0.0010,139.740891,-0.024000,0.880000
5,0.0010,140.155838,0.035000,0.880000
6,0.0010,140.465942,0.005000,0.880000
7,0.0010,139.520203,-0.000000,0.880000
8,0.0010,139.379150,-0.037000,0.880000
9,0.0010,139.457306,0.005000,0.880000
10,0.0010,139.805984,0.025000,0.880000
11,0.0010,140.316757,-0.023000,0.880000
12,0.0010,140.077499,0.007000,0.880000
13,0.0010,139.545700,0.002000,0.880000
14,0.0010,139.231903,-0.001000,0.880000
15,0.0010,139.812698,-0.016000,0.880000
16,0.0010,139.837265,-0.003000,0.880000
17,0.0010,139.980942,-0.017000,0.880000
18,0.0010,139.723495,-0.012000,0.880000
19,0.0010,140.033524,0.022000,0.880000
20,0.0010,139.952606,0.002000,0.880000
21,0.0010,139.710907,-0.015000,0.880000
22,0.0010,140.093613,-0.017000,0.880000
23,0.0010,139.354462,-0.036000,0.880000
24,0.0010,139.235092,-0.019000,0.880000
25,0.0010,139.434326,0.026000,0.880000
26,0.0010,139.866745,0.049000,0.880000
27,0.0010,139.531769,0.015000,0.880000
28,0.0010,139.314194,0.026000,0.880000
29,0.0010,139.443832,-0.000000,0.880000
30,0.0010,139.635513,0.030000,0.880000
31,0.0010,139.725540,-0.008000,0.880000
32,0.0010,139.580246,-0.011000,0.880000
33,0.0010,139.778259,-0.010000,0.880000
34,0.0010,139.738770,-0.017000,0.880000
35,0.0010,139.692337,0.021000,0.880000
36,0.0010,140.153030,-0.021000,0.880000
37,0.0010,140.073044,0.003000,0.880000
38,0.0010,139.527206,0.051000,0.880000
39,0.0010,139.349823,-0.058000,0.880000
40,0.0010,139.196594,-0.017000,0.880000
41,0.0010,139.557968,-0.026000,0.880000
42,0.0010,140.160980,-0.018000,0.880000
43,0.0010,139.680405,0.034000,0.880000
44,0.0010,140.005920,0.042000,0.880000
45,0.0010,139.715805,-0.005000,0.880000
46,0.0010,139.463699,-0.002000,0.880000
47,0.0010,139.656113,-0.007000,0.880000
48,0.0010,139.990173,-0.027000,0.880000
49,0.0010,139.064255,-0.051000,0.880000
50,0.0010,139.729355,0.064000,0.880000
51,0.0121,139.838730,-0.008000,0.880000
52,0.0233,139.879593,0.022000,0.880000
53,0.0344,139.367538,0.018000,0.880000
54,0.0455,139.487091,0.057000,0.880000
55,0.0567,139.843460,0.041000,0.880000
56,0.0678,139.839645,0.073000,0.880000
57,0.0789,139.101288,0.061000,0.880000
58,0.0901,139.827286,0.079000,0.880000
59,0.1012,139.522934,0.096000,0.880000
60,0.1123,139.844635,0.127000,0.880000
61,0.1235,139.722076,0.146000,0.880000
62,0.1346,140.279770,0.151000,0.880000
63,0.1457,139.446808,0.137000,0.880000
64,0.1569,140.366501,0.176000,0.880000
65,0.1680,139.730225,0.178000,0.880000
66,0.1791,139.251801,0.152000,0.880000
67,0.1903,140.112213,0.195000,0.880000
68,0.2014,140.011551,0.176000,0.880000
69,0.2125,139.456284,0.216000,0.880000
70,0.2237,139.922806,0.227000,0.880000
71,0.2348,139.813110,0.221000,0.880000
72,0.2459,139.221115,0.242000,0.880000
73,0.2571,139.715088,0.226000,0.880000
74,0.2682,139.390640,0.245000,0.880000
75,0.2793,139.501694,0.270000,0.880000
76,0.2905,139.855835,0.274000,0.880000
77,0.3016,139.796997,0.321000,0.880000
78,0.3127,139.510696,0.352000,0.880000
79,0.3239,139.421280,0.330000,0.880000
80,0.3350,138.849167,0.316000,0.880000
81,0.3461,139.327728,0.345000,0.880000
82,0.3573,140.168411,0.343000,0.880000
