graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.761081,1.0,1.019044,747.65
1,0.744904,1.0,0.997383,727.2
2,0.747978,1.0,1.001499,734.85
3,0.765049,1.0,1.024357,754.71
4,0.772414,1.0,1.034218,697.67
5,0.753134,1.0,1.008404,743.78
6,0.757027,1.0,1.013616,757.0
7,0.76835,1.0,1.028777,778.36
8,0.755441,1.0,1.011492,675.85
9,0.753494,1.0,1.008886,730.01
10,0.746496,1.0,0.999515,681.01
11,0.74623,1.0,0.999159,679.49
12,0.799048,1.0,1.06988,728.24
13,0.755077,1.0,1.011005,718.17
14,0.779038,1.0,1.043087,756.36
15,0.783933,1.0,1.049641,703.02
16,0.755271,1.0,1.011264,710.6
17,0.763743,1.0,1.022608,722.97
18,0.759661,1.0,1.017143,684.57
19,0.733346,1.0,0.981908,689.54
20,0.73427,1.0,0.983145,755.32
21,0.758838,1.0,1.016041,695.76
22,0.751567,1.0,1.006305,757.7
23,0.787119,1.0,1.053907,737.12
24,0.754458,1.0,1.010175,660.04
25,0.78803,1.0,1.055126,734.37
26,0.750777,1.0,1.005247,734.09
27,0.787435,1.0,1.05433,730.53
28,0.76586,1.0,1.025443,710.33
29,0.766733,1.0,1.026612,681.77
30,0.750234,1.0,1.004521,763.55
31,0.766942,1.0,1.026892,711.77
32,0.784067,1.0,1.04982,683.8
33,0.755866,1.0,1.012061,731.76
34,0.75288,1.0,1.008062,688.83
35,0.754301,1.0,1.009966,681.45
36,0.782952,1.0,1.048328,701.97
37,0.771216,1.0,1.032613,691.6
38,0.780306,1.0,1.044785,682.77
39,0.762902,1.0,1.021481,744.25
40,0.758692,1.0,1.015845,711.33
41,0.764595,1.0,1.023748,760.19
42,0.774512,1.0,1.037027,684.83
43,0.754296,1.0,1.009959,653.61
44,0.779094,1.0,1.043162,720.72
45,0.763703,1.0,1.022554,781.79
46,0.721159,1.0,0.96559,734.39
47,0.771647,1.0,1.033192,830.41
48,0.738562,1.0,0.988892,727.28
49,0.771274,1.0,1.032692,723.83
