graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.718026,1.029027,1.029027,10.12
1,0.741175,1.062202,1.062202,10.16
2,0.810507,1.161565,1.161565,9.80
3,0.580717,0.832245,0.832245,9.79
4,0.421143,0.603554,0.603554,10.05
5,0.584437,0.837577,0.837577,10.10
6,0.762505,1.092771,1.092771,9.93
7,0.731399,1.048192,1.048192,10.01
8,0.639749,0.916845,0.916845,9.57
9,0.685882,0.982960,0.982960,9.81
10,0.796891,1.142051,1.142051,10.48
11,0.677163,0.970464,0.970464,10.33
12,0.687787,0.985690,0.985690,10.46
13,0.761829,1.091803,1.091803,9.99
14,0.690528,0.989619,0.989619,10.05
15,0.823400,1.180043,1.180043,10.42
16,0.733893,1.051766,1.051766,10.43
17,0.478756,0.686122,0.686122,9.91
18,0.805705,1.154682,1.154682,9.41
19,0.851768,1.220697,1.220697,9.66
20,0.651557,0.933767,0.933767,10.44
21,0.758940,1.087662,1.087662,10.21
22,0.701402,1.005203,1.005203,10.27
23,0.686637,0.984042,0.984042,9.75
24,0.586015,0.839838,0.839838,9.30
25,0.610587,0.875053,0.875053,10.02
26,0.910390,1.304711,1.304711,10.46
27,0.748398,1.072554,1.072554,10.36
28,0.762534,1.092814,1.092814,9.84
29,0.839272,1.202788,1.202788,9.76
30,0.803983,1.152216,1.152216,10.17
31,0.744850,1.067469,1.067469,10.03
32,0.660975,0.947265,0.947265,10.25
33,0.665112,0.953195,0.953195,9.89
34,0.664510,0.952332,0.952332,9.75
35,0.687598,0.985420,0.985420,10.18
36,0.702896,1.007343,1.007343,10.44
37,0.775808,1.111837,1.111837,10.04
38,0.519020,0.743825,0.743825,9.66
39,0.635155,0.910262,0.910262,9.70
40,0.670572,0.961020,0.961020,10.07
41,0.759730,1.088795,1.088795,10.10
42,0.579263,0.830161,0.830161,9.86
43,0.682098,0.977537,0.977537,9.68
44,0.797131,1.142395,1.142395,10.03
45,0.579489,0.830485,0.830485,10.52
46,0.752442,1.078349,1.078349,10.26
47,0.563547,0.807638,0.807638,10.02
48,0.620171,0.888787,0.888787,9.61
49,0.785246,1.125363,1.125363,9.81
