graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.930357,1.0,1.019156,700.97
1,0.93216,1.0,1.021131,729.05
2,0.934577,1.0,1.023779,712.55
3,0.93218,1.0,1.021153,736.31
4,0.934452,1.0,1.023642,758.7
5,0.931668,1.0,1.020592,701.01
6,0.927397,1.0,1.015913,732.2
7,0.924857,1.0,1.013131,711.68
8,0.929775,1.0,1.018519,733.71
9,0.926873,1.0,1.01534,751.74
10,0.930601,1.0,1.019424,760.28
11,0.928456,1.0,1.017073,751.16
12,0.933708,1.0,1.022827,741.84
13,0.931574,1.0,1.020489,675.19
14,0.933872,1.0,1.023006,687.51
15,0.933842,1.0,1.022974,696.85
16,0.930256,1.0,1.019045,739.83
17,0.930609,1.0,1.019432,679.88
18,0.934184,1.0,1.023348,739.07
19,0.945395,1.0,1.035629,736.41
20,0.925588,1.0,1.013932,656.46
21,0.931532,1.0,1.020444,687.28
22,0.924397,1.0,1.012628,764.73
23,0.931171,1.0,1.020048,752.14
24,0.927405,1.0,1.015922,695.9
25,0.9306,1.0,1.019423,689.19
26,0.932187,1.0,1.021161,637.75
27,0.92847,1.0,1.017089,780.27
28,0.921007,1.0,1.008913,728.29
29,0.939511,1.0,1.029184,795.25
30,0.936131,1.0,1.025481,719.83
31,0.930539,1.0,1.019355,737.07
32,0.926133,1.0,1.014529,759.19
33,0.931782,1.0,1.020717,786.36
34,0.933373,1.0,1.02246,745.01
35,0.935731,1.0,1.025043,726.89
36,0.936263,1.0,1.025626,727.82
37,0.93735,1.0,1.026816,688.79
38,0.921254,1.0,1.009184,712.92
39,0.929535,1.0,1.018256,728.66
40,0.937018,1.0,1.026453,777.02
41,0.925966,1.0,1.014346,711.17
42,0.938322,1.0,1.027881,765.42
43,0.94173,1.0,1.031615,723.83
44,0.93816,1.0,1.027704,771.99
45,0.935106,1.0,1.024359,751.39
46,0.928711,1.0,1.017353,748.94
47,0.932916,1.0,1.021959,762.37
48,0.92353,1.0,1.011678,757.08
49,0.926788,1.0,1.015246,765.46
