step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,55.632504,-0.026364,0.265709
1,0.0010,55.483601,-0.025527,0.634785
2,0.0010,55.418423,0.011851,0.634785
3,0.0010,55.745583,-0.024160,0.634785
4,0.0010,55.600891,0.024597,0.634785
5,0.0010,55.559475,0.008950,0.634785
6,0.0010,55.856274,0.024812,0.634785
7,0.0010,55.613861,0.008916,0.634785
8,0.0010,55.631886,0.021769,0.634785
9,0.0010,56.083607,0.000565,0.634785
10,0.0010,55.490002,-0.010331,0.634785
11,0.0010,55.750423,-0.009646,0.634785
12,0.0010,55.661633,-0.011448,0.634785
13,0.0010,55.800518,-0.015655,0.634785
14,0.0010,55.683270,0.040187,0.634785
15,0.0010,55.343292,0.004597,0.634785
16,0.0010,55.814663,0.013799,0.634785
17,0.0010,55.623634,-0.001175,0.634785
18,0.0010,55.577572,0.014192,0.634785
19,0.0010,55.741272,0.013293,0.634785
20,0.0010,55.597561,-0.012566,0.634785
21,0.0010,55.443531,0.017765,0.634785
22,0.0010,55.244251,-0.005042,0.634785
23,0.0010,55.612041,-0.021422,0.634785
24,0.0010,55.832165,0.002980,0.634785
25,0.0010,55.509441,-0.024730,0.634785
26,0.0010,55.775146,-0.010871,0.634785
27,0.0010,55.425304,-0.001247,0.634785
28,0.0010,55.509193,0.007411,0.634785
29,0.0010,55.566750,0.002647,0.634785
30,0.0010,55.609802,0.009462,0.634785
31,0.0010,55.571198,0.002677,0.634785
32,0.0010,55.545986,0.024473,0.634785
33,0.0010,55.589642,0.021481,0.634785
34,0.0010,55.655922,0.026970,0.634785
35,0.0010,55.655544,-0.006112,0.634785
36,0.0010,55.746887,0.003954,0.634785
37,0.0010,55.518745,0.048380,0.634785
38,0.0010,55.654358,-0.011977,0.634785
39,0.0010,55.622742,-0.010017,0.634785
40,0.0010,55.615040,0.007183,0.634785
41,0.0010,55.432125,-0.014002,0.634785
42,0.0010,55.556702,0.031175,0.634785
43,0.0010,55.531994,0.002828,0.634785
44,0.0010,55.546459,0.005383,0.634785
45,0.0010,55.620716,-0.028602,0.634785
46,0.0010,55.744629,0.002968,0.634785
47,0.0010,55.622631,0.017859,0.634785
48,0.0010,55.597328,0.001294,0.634785
49,0.0010,55.542751,-0.010680,0.634785
50,0.0010,55.645149,-0.017632,0.634785
51,0.0121,55.523243,0.019383,0.634785
52,0.0233,55.626698,0.017197,0.634785
53,0.0344,55.680386,0.050580,0.634785
54,0.0455,55.796364,0.051599,0.634785
55,0.0567,55.467476,0.068209,0.634785
56,0.0678,55.576916,0.063140,0.634785
57,0.0789,55.882080,0.076638,0.634785
58,0.0901,55.652309,0.061603,0.634785
59,0.1012,55.751862,0.096069,0.634785
60,0.1123,55.737537,0.110435,0.634785
61,0.1235,55.837379,0.130239,0.634785
62,0.1346,55.666565,0.127043,0.634785
63,0.1457,55.755035,0.131045,0.634785
64,0.1569,55.757648,0.170252,0.634785
65,0.1680,55.646534,0.160027,0.634785
66,0.1791,55.678963,0.169767,0.634785
67,0.1903,55.780407,0.140192,0.634785
68,0.2014,55.585377,0.185020,0.634785
69,0.2125,55.766468,0.222720,0.634785
70,0.2237,55.575588,0.230803,0.634785
71,0.2348,55.620495,0.215372,0.634785
72,0.2459,55.816547,0.242026,0.634785
73,0.2571,55.582741,0.225211,0.634785
74,0.2682,55.501125,0.233313,0.634785
75,0.2793,55.609985,0.248315,0.634785
76,0.2905,55.679066,0.270302,0.634785
77,0.3016,55.683052,0.283482,0.634785
78,0.3127,55.536385,0.267572,0.634785
79,0.3239,55.608837,0.262419,0.634785
80,0.3350,55.528759,0.304176,0.634785
81,0.3461,55.536144,0.275637,0.634785
82,0.3573,55.359974,0.339071,0.634785
83,0.3684,55.450378,0.333151,0.634785
84,0.3795,55.551662,0.360992,0.634785
85,0.3907,55.476299,0.326657,0.634785
86,0.4018,55.557899,0.367265,0.634785
87,0.4129,55.599026,0.349399,0.634785
88,0.4241,55.643116,0.348642,0.634785
89,0.4352,55.455341,0.376399,0.634785
90,0.4463,55.286938,0.395339,0.634785
91,0.4575,55.336811,0.379834,0.634785
92,0.4686,55.411232,0.415896,0.634785
93,0.4797,55.445583,0.393366,0.634785
94,0.4909,55.347591,0.409580,0.634785
95,0.5020,55.479855,0.425040,0.634785
96,0.5131,55.312481,0.405367,0.634785
97,0.5243,55.161049,0.404983,0.634785
98,0.5354,55.266552,0.433353,0.634785
99,0.5465,55.093800,0.437164,0.634785
100,0.5577,55.417828,0.454031,0.634785
101,0.5688,54.987976,0.449591,0.634785
102,0.5799,55.050259,0.463145,0.634785
103,0.5911,55.162441,0.443794,0.634785
104,0.6022,54.940090,0.463591,0.634785
105,0.6133,54.893005,0.474627,0.634785
106,0.6245,54.655884,0.470638,0.634785
107,0.6356,54.483570,0.469963,0.634785
108,0.6468,54.642925,0.472354,0.634785
109,0.6579,54.513988,0.473558,0.634785
110,0.6690,54.482605,0.477410,0.634785
111,0.6802,54.353283,0.492032,0.634785
112,0.6913,53.763439,0.524998,0.634785
113,0.7024,53.692913,0.541172,0.634785
114,0.7136,53.837383,0.522529,0.634785
115,0.7247,53.581123,0.536693,0.634785
116,0.7358,53.357449,0.540884,0.634785
117,0.7470,53.564327,0.504763,0.634785
118,0.7581,53.356136,0.542918,0.636063
119,0.7692,53.251038,0.547753,0.636063
120,0.7804,53.221558,0.531750,0.636063
121,0.7915,53.145355,0.534774,0.636063
122,0.8026,52.900612,0.544584,0.637461
123,0.8138,52.637135,0.533033,0.637461
124,0.8249,52.595387,0.552732,0.643618
125,0.8360,52.678051,0.542032,0.643618
126,0.8472,52.218342,0.553519,0.666911
127,0.8583,51.815731,0.553984,0.666911
128,0.8694,51.353603,0.560801,0.666911
129,0.8806,50.870552,0.577001,0.666911
130,0.8917,51.023815,0.576288,0.670303
131,0.9028,50.623409,0.568934,0.670303
132,0.9140,50.610363,0.556500,0.670303
133,0.9251,50.487789,0.570507,0.670303
134,0.9362,50.459988,0.575630,0.670303
135,0.9474,50.527252,0.562102,0.670303
136,0.9585,50.229755,0.567570,0.670303
137,0.9696,49.926704,0.572238,0.670303
