step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,55.615273,0.027149,0.382711
1,0.0010,55.687721,0.004464,0.647937
2,0.0010,55.791401,0.014645,0.647937
3,0.0010,55.598682,0.006831,0.647937
4,0.0010,55.438869,-0.037006,0.647937
5,0.0010,55.898102,0.001432,0.647937
6,0.0010,55.486115,0.008450,0.647937
7,0.0010,55.812389,-0.024046,0.647937
8,0.0010,55.700073,-0.039188,0.647937
9,0.0010,55.449829,0.011377,0.647937
10,0.0010,55.554066,0.006840,0.647937
11,0.0010,55.478603,-0.006315,0.647937
12,0.0010,55.845325,-0.024781,0.647937
13,0.0010,55.790905,0.000956,0.647937
14,0.0010,55.468151,-0.003239,0.647937
15,0.0010,55.908821,0.040038,0.647937
16,0.0010,55.780987,0.025735,0.647937
17,0.0010,55.770824,-0.008470,0.647937
18,0.0010,55.454346,0.000321,0.647937
19,0.0010,55.738186,0.010369,0.647937
20,0.0010,55.452007,0.026607,0.647937
21,0.0010,55.436657,0.010660,0.647937
22,0.0010,55.288769,-0.004067,0.647937
23,0.0010,55.839100,-0.016639,0.647937
24,0.0010,55.630817,0.046191,0.647937
25,0.0010,55.582867,-0.029059,0.647937
26,0.0010,55.773254,0.027020,0.647937
27,0.0010,55.723621,-0.018964,0.647937
28,0.0010,55.575428,-0.020387,0.647937
29,0.0010,55.712612,-0.007783,0.647937
30,0.0010,55.940582,-0.026371,0.647937
31,0.0010,55.662685,-0.007449,0.647937
32,0.0010,55.696804,-0.003390,0.647937
33,0.0010,55.552723,-0.017245,0.647937
34,0.0010,55.427246,-0.020981,0.647937
35,0.0010,55.486843,-0.013171,0.647937
36,0.0010,55.439796,0.000698,0.647937
37,0.0010,55.560139,0.010861,0.647937
38,0.0010,55.836365,0.017454,0.647937
39,0.0010,55.610180,0.003717,0.647937
40,0.0010,55.737122,-0.016070,0.647937
41,0.0010,55.620815,0.005189,0.647937
42,0.0010,55.419704,0.019039,0.647937
43,0.0010,55.818996,0.046028,0.647937
44,0.0010,55.741798,0.001048,0.647937
45,0.0010,55.660889,0.021439,0.647937
46,0.0010,55.586445,-0.004081,0.647937
47,0.0010,55.468395,0.008524,0.647937
48,0.0010,55.663460,0.001869,0.647937
49,0.0010,55.729267,0.017916,0.647937
