graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.906250,1.131045,1.064611,11.56
1,0.843750,1.053042,0.991189,11.72
2,0.875000,1.092044,1.027900,12.31
3,0.812500,1.014041,0.954479,12.04
4,0.843750,1.053042,0.991189,12.01
5,0.906250,1.131045,1.064611,12.20
6,0.812500,1.014041,0.954479,13.12
7,0.875000,1.092044,1.027900,13.19
8,0.875000,1.092044,1.027900,13.60
9,0.843750,1.053042,0.991189,12.02
10,0.843750,1.053042,0.991189,12.82
11,0.875000,1.092044,1.027900,13.06
12,0.906250,1.131045,1.064611,12.57
13,0.843750,1.053042,0.991189,11.98
14,0.843750,1.053042,0.991189,11.41
15,0.781250,0.975039,0.917768,11.71
16,0.843750,1.053042,0.991189,11.80
17,0.843750,1.053042,0.991189,11.70
18,0.875000,1.092044,1.027900,12.00
19,0.812500,1.014041,0.954479,11.39
20,0.843750,1.053042,0.991189,11.40
21,0.750000,0.936037,0.881057,11.56
22,0.843750,1.053042,0.991189,11.15
23,0.843750,1.053042,0.991189,11.50
24,0.875000,1.092044,1.027900,11.44
25,0.875000,1.092044,1.027900,11.42
26,0.812500,1.014041,0.954479,11.86
27,0.812500,1.014041,0.954479,10.04
28,0.875000,1.092044,1.027900,10.34
29,0.906250,1.131045,1.064611,10.93
30,0.812500,1.014041,0.954479,10.15
31,0.781250,0.975039,0.917768,10.24
32,0.843750,1.053042,0.991189,11.21
33,0.843750,1.053042,0.991189,10.02
34,0.937500,1.170047,1.101322,9.89
35,0.875000,1.092044,1.027900,10.77
36,0.812500,1.014041,0.954479,9.97
37,0.843750,1.053042,0.991189,10.16
38,0.843750,1.053042,0.991189,10.91
39,0.906250,1.131045,1.064611,10.14
40,0.812500,1.014041,0.954479,10.87
41,0.781250,0.975039,0.917768,11.13
42,0.906250,1.131045,1.064611,10.29
43,0.812500,1.014041,0.954479,11.02
44,0.843750,1.053042,0.991189,10.68
45,0.937500,1.170047,1.101322,10.16
46,0.906250,1.131045,1.064611,10.69
47,0.875000,1.092044,1.027900,10.77
48,0.812500,1.014041,0.954479,10.18
49,0.875000,1.092044,1.027900,10.59
