step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,55.512157,-0.031250,0.250000
1,0.0010,55.414852,0.038750,0.725000
2,0.0010,55.493507,-0.013750,0.725000
3,0.0010,55.606251,-0.003750,0.725000
4,0.0010,55.533398,-0.046250,0.725000
5,0.0010,55.638649,0.028750,0.725000
6,0.0010,55.734650,-0.005000,0.725000
7,0.0010,55.741394,0.012500,0.725000
8,0.0010,55.612129,-0.020000,0.725000
9,0.0010,55.668148,0.002500,0.725000
10,0.0010,55.468872,0.007500,0.725000
11,0.0010,55.764965,-0.021250,0.725000
12,0.0010,55.754406,0.016250,0.725000
13,0.0010,55.619720,-0.028750,0.725000
14,0.0010,55.510815,-0.008750,0.725000
15,0.0010,55.629822,0.018750,0.725000
16,0.0010,55.742153,-0.011250,0.725000
17,0.0010,55.393749,0.007500,0.725000
18,0.0010,55.726971,0.020000,0.725000
19,0.0010,55.619873,0.036250,0.725000
20,0.0010,55.847073,0.001250,0.725000
21,0.0010,55.594971,0.001250,0.725000
22,0.0010,55.729591,-0.000000,0.725000
23,0.0010,55.647755,-0.011250,0.725000
24,0.0010,55.499012,-0.012500,0.725000
25,0.0010,55.613625,0.015000,0.725000
26,0.0010,55.713177,-0.032500,0.725000
27,0.0010,55.720287,-0.015000,0.725000
28,0.0010,55.579876,0.041250,0.725000
29,0.0010,55.529163,0.005000,0.725000
30,0.0010,55.465038,-0.023750,0.725000
31,0.0010,55.629822,-0.027500,0.725000
32,0.0010,55.873108,-0.020000,0.725000
33,0.0010,55.574280,-0.017500,0.725000
34,0.0010,55.483715,-0.016250,0.725000
35,0.0010,55.387997,0.002500,0.725000
36,0.0010,55.432240,-0.027500,0.725000
37,0.0010,55.659637,-0.030000,0.725000
38,0.0010,55.694256,0.027500,0.725000
39,0.0010,55.670849,0.017500,0.725000
40,0.0010,55.517181,-0.033750,0.725000
41,0.0010,55.394531,0.003750,0.725000
42,0.0010,55.453762,0.011250,0.725000
43,0.0010,55.361195,-0.016250,0.725000
44,0.0010,55.618679,-0.033750,0.725000
45,0.0010,55.579018,-0.006250,0.725000
46,0.0010,55.651070,0.003750,0.725000
47,0.0010,55.706818,0.031250,0.725000
48,0.0010,55.891029,-0.005000,0.725000
49,0.0010,55.774487,-0.013750,0.725000
50,0.0010,55.683754,-0.016250,0.725000
51,0.0121,55.710602,0.027500,0.725000
52,0.0233,55.537342,0.063750,0.725000
53,0.0344,55.573620,0.023750,0.725000
54,0.0455,55.780769,0.072500,0.725000
55,0.0567,55.580944,0.043750,0.725000
56,0.0678,55.772633,0.102500,0.725000
57,0.0789,55.392223,0.098750,0.725000
58,0.0901,55.486610,0.080000,0.725000
59,0.1012,55.606117,0.092500,0.725000
60,0.1123,55.623024,0.098750,0.725000
61,0.1235,55.549969,0.118750,0.725000
62,0.1346,55.730213,0.140000,0.725000
63,0.1457,55.487499,0.175000,0.725000
64,0.1569,55.443020,0.131250,0.725000
65,0.1680,55.630310,0.172500,0.725000
66,0.1791,55.736031,0.117500,0.725000
67,0.1903,55.290768,0.207500,0.725000
68,0.2014,55.619576,0.212500,0.725000
69,0.2125,55.762371,0.207500,0.725000
70,0.2237,55.793457,0.207500,0.725000
71,0.2348,55.583374,0.240000,0.725000
72,0.2459,55.308681,0.227500,0.725000
73,0.2571,55.424477,0.240000,0.725000
74,0.2682,55.454861,0.278750,0.725000
75,0.2793,55.524513,0.268750,0.725000
76,0.2905,55.797749,0.306250,0.725000
77,0.3016,55.527210,0.263750,0.725000
78,0.3127,55.570312,0.301250,0.725000
79,0.3239,55.662971,0.326250,0.725000
80,0.3350,55.656086,0.310000,0.725000
81,0.3461,55.645477,0.351250,0.725000
82,0.3573,55.747040,0.337500,0.725000
83,0.3684,55.413746,0.305000,0.725000
84,0.3795,55.223804,0.365000,0.725000
85,0.3907,55.227673,0.360000,0.725000
86,0.4018,55.637611,0.375000,0.725000
87,0.4129,55.527027,0.392500,0.725000
88,0.4241,55.115871,0.427500,0.725000
89,0.4352,55.412731,0.405000,0.725000
90,0.4463,55.462830,0.397500,0.725000
91,0.4575,55.296337,0.418750,0.725000
92,0.4686,54.891518,0.441250,0.725000
93,0.4797,55.208202,0.415000,0.725000
94,0.4909,55.320705,0.446250,0.725000
95,0.5020,55.146694,0.453750,0.725000
96,0.5131,54.984169,0.472500,0.725000
97,0.5243,54.948799,0.480000,0.725000
98,0.5354,54.749989,0.487500,0.725000
99,0.5465,54.670052,0.511250,0.725000
100,0.5577,54.695126,0.521250,0.725000
101,0.5688,54.592678,0.522500,0.725000
102,0.5799,54.436726,0.540000,0.725000
103,0.5911,54.317871,0.526250,0.725000
104,0.6022,53.990505,0.543750,0.725000
105,0.6133,54.209145,0.560000,0.725000
106,0.6245,54.086880,0.536250,0.725000
107,0.6356,53.821728,0.552500,0.725000
108,0.6468,53.311138,0.558750,0.725000
109,0.6579,53.224865,0.591250,0.725000
110,0.6690,53.025135,0.591250,0.725000
111,0.6802,53.180580,0.578750,0.725000
112,0.6913,52.792316,0.583750,0.725000
113,0.7024,52.644569,0.581250,0.725000
114,0.7136,52.367764,0.592500,0.725000
115,0.7247,52.154446,0.596250,0.725000
116,0.7358,51.826214,0.610000,0.725000
117,0.7470,51.432922,0.618750,0.725000
118,0.7581,51.152885,0.622500,0.725000
119,0.7692,50.930515,0.626250,0.725000
120,0.7804,50.846565,0.630000,0.725000
121,0.7915,50.566360,0.627500,0.725000
122,0.8026,50.216049,0.621250,0.725000
123,0.8138,50.288200,0.627500,0.725000
124,0.8249,49.789001,0.641250,0.725000
125,0.8360,49.905796,0.637500,0.725000
126,0.8472,49.804695,0.633750,0.725000
127,0.8583,49.067360,0.657500,0.725000
128,0.8694,49.121227,0.646250,0.750000
129,0.8806,48.543980,0.657500,0.750000
130,0.8917,48.940395,0.650000,0.750000
131,0.9028,48.016705,0.651250,0.750000
132,0.9140,47.726208,0.648750,0.750000
133,0.9251,47.052711,0.662500,0.750000
134,0.9362,47.047958,0.658750,0.750000
135,0.9474,46.607849,0.671250,0.750000
