step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,55.634907,-0.017500,0.287500
1,0.0010,55.590523,0.016250,0.737500
2,0.0010,55.629139,-0.008750,0.737500
3,0.0010,55.679455,-0.015000,0.737500
4,0.0010,55.671841,-0.018750,0.737500
5,0.0010,55.516232,-0.002500,0.737500
6,0.0010,55.491566,-0.002500,0.737500
7,0.0010,55.584560,-0.016250,0.737500
8,0.0010,55.592804,-0.013750,0.737500
9,0.0010,55.740570,0.008750,0.737500
10,0.0010,55.553406,-0.008750,0.737500
11,0.0010,55.672741,0.013750,0.737500
12,0.0010,55.559895,0.003750,0.737500
13,0.0010,55.738464,0.007500,0.737500
14,0.0010,55.521179,0.020000,0.737500
15,0.0010,55.749035,-0.020000,0.737500
16,0.0010,55.936256,0.025000,0.737500
17,0.0010,55.551331,0.027500,0.737500
18,0.0010,55.365200,0.018750,0.737500
19,0.0010,55.615051,-0.006250,0.737500
20,0.0010,55.656231,0.033750,0.737500
21,0.0010,55.870819,-0.026250,0.737500
22,0.0010,55.715126,-0.006250,0.737500
23,0.0010,55.754726,0.035000,0.737500
24,0.0010,55.572620,0.026250,0.737500
25,0.0010,55.879944,0.003750,0.737500
26,0.0010,55.618999,0.016250,0.737500
27,0.0010,55.583321,0.002500,0.737500
28,0.0010,55.438732,0.016250,0.737500
29,0.0010,55.602112,0.013750,0.737500
30,0.0010,55.596413,0.000000,0.737500
31,0.0010,55.432148,-0.005000,0.737500
32,0.0010,55.452087,-0.010000,0.737500
33,0.0010,55.581551,-0.013750,0.737500
34,0.0010,55.744934,0.001250,0.737500
35,0.0010,55.561390,0.032500,0.737500
36,0.0010,55.400612,0.022500,0.737500
37,0.0010,55.920399,-0.006250,0.737500
38,0.0010,55.410183,-0.007500,0.737500
39,0.0010,55.466152,0.011250,0.737500
40,0.0010,55.657654,-0.003750,0.737500
41,0.0010,55.524639,0.030000,0.737500
42,0.0010,55.467812,0.008750,0.737500
43,0.0010,55.683105,0.022500,0.737500
44,0.0010,55.626453,-0.012500,0.737500
45,0.0010,55.561310,-0.017500,0.737500
46,0.0010,55.661816,-0.013750,0.737500
47,0.0010,55.664928,-0.007500,0.737500
48,0.0010,55.746704,0.003750,0.737500
49,0.0010,55.815735,0.011250,0.737500
50,0.0010,55.529903,0.013750,0.737500
51,0.0121,55.725086,0.008750,0.737500
52,0.0233,55.569893,0.021250,0.737500
53,0.0344,55.680523,0.027500,0.737500
54,0.0455,55.500122,0.010000,0.737500
55,0.0567,55.526417,0.043750,0.737500
56,0.0678,55.542866,0.058750,0.737500
57,0.0789,55.612709,0.103750,0.737500
58,0.0901,55.897839,0.062500,0.737500
59,0.1012,55.847591,0.057500,0.737500
60,0.1123,55.665089,0.122500,0.737500
61,0.1235,55.568398,0.090000,0.737500
62,0.1346,55.522602,0.141250,0.737500
63,0.1457,55.434826,0.141250,0.737500
64,0.1569,55.507740,0.145000,0.737500
65,0.1680,55.615376,0.175000,0.737500
66,0.1791,55.603527,0.135000,0.737500
67,0.1903,55.719421,0.218750,0.737500
68,0.2014,55.506603,0.212500,0.737500
69,0.2125,55.337017,0.193750,0.737500
70,0.2237,55.554482,0.216250,0.737500
71,0.2348,55.593994,0.218750,0.737500
72,0.2459,55.725018,0.227500,0.737500
73,0.2571,55.796993,0.257500,0.737500
74,0.2682,55.524586,0.267500,0.737500
75,0.2793,55.526161,0.257500,0.737500
76,0.2905,55.648121,0.257500,0.737500
77,0.3016,55.672474,0.267500,0.737500
78,0.3127,55.472656,0.281250,0.737500
79,0.3239,55.430309,0.300000,0.737500
80,0.3350,55.446625,0.360000,0.737500
81,0.3461,55.725098,0.358750,0.737500
