graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.725000,0.982385,1.008345,12.97
1,0.737500,0.999322,1.025730,13.18
2,0.750000,1.016260,1.043115,13.01
3,0.762500,1.033198,1.060501,12.85
4,0.750000,1.016260,1.043115,13.44
5,0.762500,1.033198,1.060501,13.48
6,0.725000,0.982385,1.008345,12.94
7,0.725000,0.982385,1.008345,14.19
8,0.725000,0.982385,1.008345,13.89
9,0.737500,0.999322,1.025730,13.13
10,0.750000,1.016260,1.043115,13.70
11,0.787500,1.067073,1.095271,13.05
12,0.737500,0.999322,1.025730,12.79
13,0.750000,1.016260,1.043115,13.09
14,0.737500,0.999322,1.025730,13.12
15,0.725000,0.982385,1.008345,12.99
16,0.725000,0.982385,1.008345,14.57
17,0.725000,0.982385,1.008345,15.82
18,0.737500,0.999322,1.025730,15.79
19,0.725000,0.982385,1.008345,16.34
20,0.775000,1.050136,1.077886,16.55
21,0.725000,0.982385,1.008345,14.21
22,0.737500,0.999322,1.025730,16.53
23,0.775000,1.050136,1.077886,15.96
24,0.737500,0.999322,1.025730,14.82
25,0.712500,0.965447,0.990960,15.06
26,0.725000,0.982385,1.008345,14.66
27,0.737500,0.999322,1.025730,15.31
28,0.750000,1.016260,1.043115,15.44
29,0.737500,0.999322,1.025730,15.51
30,0.737500,0.999322,1.025730,15.95
31,0.725000,0.982385,1.008345,14.43
32,0.750000,1.016260,1.043115,15.19
33,0.750000,1.016260,1.043115,14.92
34,0.737500,0.999322,1.025730,14.55
35,0.750000,1.016260,1.043115,13.09
36,0.725000,0.982385,1.008345,12.99
37,0.712500,0.965447,0.990960,14.59
38,0.737500,0.999322,1.025730,14.68
39,0.750000,1.016260,1.043115,14.40
40,0.712500,0.965447,0.990960,13.60
41,0.737500,0.999322,1.025730,14.08
42,0.737500,0.999322,1.025730,15.36
43,0.725000,0.982385,1.008345,18.51
44,0.725000,0.982385,1.008345,16.05
45,0.737500,0.999322,1.025730,15.82
46,0.725000,0.982385,1.008345,17.65
47,0.737500,0.999322,1.025730,28.18
48,0.750000,1.016260,1.043115,26.56
49,0.725000,0.982385,1.008345,19.28
