step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,238.051758,-0.002059,0.126471
1,0.0010,238.759644,-0.011471,0.691176
2,0.0010,237.470169,-0.008529,0.691176
3,0.0010,238.444321,0.005588,0.691176
4,0.0010,237.679199,0.002059,0.691176
5,0.0010,239.993942,-0.002059,0.691176
6,0.0010,238.000565,0.002941,0.691176
7,0.0010,239.121780,0.004118,0.691176
8,0.0010,238.072708,-0.006176,0.691176
9,0.0010,237.863968,0.001176,0.691176
10,0.0010,238.596298,-0.004412,0.691176
11,0.0010,238.200592,0.008235,0.691176
12,0.0010,238.354492,0.014706,0.691176
13,0.0010,238.078415,-0.003529,0.691176
14,0.0010,238.164948,0.007353,0.691176
15,0.0010,239.621338,-0.004706,0.691176
16,0.0010,239.675812,0.012059,0.691176
17,0.0010,237.997543,0.006471,0.691176
18,0.0010,239.232208,-0.002647,0.691176
19,0.0010,238.793015,-0.009706,0.691176
20,0.0010,239.075439,0.005588,0.691176
21,0.0010,238.917282,-0.014706,0.691176
22,0.0010,239.951538,0.010294,0.691176
23,0.0010,238.550400,0.003529,0.691176
24,0.0010,238.790771,-0.007059,0.691176
25,0.0010,238.812576,0.004706,0.691176
26,0.0010,238.718216,-0.002059,0.691176
27,0.0010,238.040970,-0.000588,0.691176
28,0.0010,239.149979,0.001471,0.691176
29,0.0010,239.042969,0.003824,0.691176
30,0.0010,238.463287,-0.006471,0.691176
31,0.0010,238.384354,0.001471,0.691176
32,0.0010,239.326828,0.011765,0.691176
33,0.0010,238.787033,0.010882,0.691176
34,0.0010,238.900879,-0.010588,0.691176
35,0.0010,238.729523,-0.001176,0.691176
36,0.0010,237.977814,-0.005588,0.691176
37,0.0010,239.056870,0.003824,0.691176
38,0.0010,238.815628,0.012353,0.691176
39,0.0010,239.429596,0.001471,0.691176
40,0.0010,239.361969,0.002059,0.691176
41,0.0010,238.448975,-0.004412,0.691176
42,0.0010,239.403000,0.007059,0.691176
43,0.0010,238.650146,0.008529,0.691176
44,0.0010,239.271774,0.009118,0.691176
45,0.0010,238.961426,0.014412,0.691176
46,0.0010,238.683258,-0.004412,0.691176
47,0.0010,239.702148,-0.000294,0.691176
48,0.0010,238.788925,-0.012353,0.691176
49,0.0010,239.460480,-0.007941,0.691176
50,0.0010,238.705521,0.008824,0.691176
51,0.0121,238.280182,0.025294,0.691176
52,0.0233,239.302612,0.005294,0.691176
53,0.0344,239.350052,0.040882,0.691176
54,0.0455,238.256149,0.038529,0.691176
55,0.0567,238.262009,0.040000,0.691176
56,0.0678,238.696518,0.071471,0.691176
57,0.0789,238.455276,0.087941,0.691176
58,0.0901,239.245163,0.088824,0.691176
59,0.1012,238.785522,0.093824,0.691176
60,0.1123,239.792709,0.107353,0.691176
61,0.1235,239.499130,0.132941,0.691176
62,0.1346,239.432663,0.127647,0.691176
63,0.1457,238.839020,0.143824,0.691176
64,0.1569,238.297073,0.150000,0.691176
65,0.1680,239.812531,0.167647,0.691176
66,0.1791,239.344437,0.175588,0.691176
67,0.1903,239.168121,0.180588,0.691176
68,0.2014,238.551346,0.208529,0.691176
69,0.2125,240.148544,0.225000,0.691176
70,0.2237,238.906647,0.223824,0.691176
71,0.2348,237.767929,0.234118,0.691176
72,0.2459,238.726074,0.252353,0.691176
73,0.2571,239.307907,0.254706,0.691176
74,0.2682,238.279251,0.242647,0.691176
75,0.2793,239.523544,0.271471,0.691176
76,0.2905,239.365753,0.267941,0.691176
77,0.3016,238.816162,0.295882,0.691176
78,0.3127,238.589111,0.302647,0.691176
79,0.3239,240.006012,0.319706,0.691176
80,0.3350,238.066269,0.321765,0.691176
81,0.3461,238.635818,0.329118,0.691176
82,0.3573,238.811020,0.358529,0.691176
83,0.3684,238.965973,0.342353,0.691176
84,0.3795,239.015778,0.365588,0.691176
85,0.3907,238.765427,0.368235,0.691176
86,0.4018,237.305038,0.380882,0.691176
87,0.4129,237.490509,0.390000,0.691176
88,0.4241,238.322861,0.402353,0.691176
89,0.4352,238.888916,0.410588,0.691176
90,0.4463,237.744125,0.415000,0.691176
91,0.4575,238.234406,0.432941,0.691176
92,0.4686,237.099167,0.438235,0.691176
93,0.4797,237.987350,0.447941,0.691176
94,0.4909,237.154816,0.465882,0.691176
95,0.5020,236.924545,0.469412,0.691176
96,0.5131,236.175201,0.459118,0.691176
97,0.5243,235.607010,0.462059,0.691176
98,0.5354,237.206696,0.493235,0.691176
99,0.5465,235.331299,0.502941,0.691176
100,0.5577,235.147018,0.503824,0.691176
101,0.5688,234.618210,0.518529,0.691176
102,0.5799,235.288971,0.514412,0.691176
103,0.5911,235.031937,0.524706,0.691176
104,0.6022,233.525009,0.520294,0.691176
105,0.6133,232.416794,0.530588,0.691176
106,0.6245,231.997116,0.535000,0.691176
107,0.6356,232.415817,0.561176,0.691176
108,0.6468,230.473389,0.561765,0.691176
109,0.6579,229.128281,0.566176,0.691176
110,0.6690,228.312576,0.565000,0.691176
111,0.6802,227.743240,0.575000,0.691176
112,0.6913,225.890381,0.593824,0.691176
113,0.7024,225.517014,0.608824,0.691176
114,0.7136,225.617355,0.594706,0.691176
115,0.7247,224.578781,0.596471,0.691176
116,0.7358,223.621094,0.605588,0.691176
117,0.7470,222.272995,0.601471,0.691176
118,0.7581,219.934494,0.613235,0.691176
119,0.7692,218.554550,0.618235,0.691176
120,0.7804,217.194199,0.624706,0.691176
121,0.7915,216.277008,0.625294,0.691176
122,0.8026,214.824539,0.634118,0.691176
123,0.8138,212.805908,0.630882,0.691176
124,0.8249,212.153610,0.634706,0.691176
125,0.8360,210.261642,0.634118,0.691176
126,0.8472,207.421051,0.645000,0.702941
127,0.8583,204.859695,0.649118,0.702941
128,0.8694,202.079742,0.651765,0.702941
129,0.8806,200.881332,0.657353,0.702941
130,0.8917,199.684021,0.653529,0.702941
131,0.9028,198.226517,0.655882,0.702941
132,0.9140,193.826935,0.662941,0.702941
133,0.9251,194.625885,0.660294,0.702941
134,0.9362,193.123672,0.663824,0.702941
135,0.9474,190.291550,0.666471,0.702941
136,0.9585,188.100540,0.670294,0.702941
137,0.9696,186.192123,0.666471,0.708824
138,0.9808,185.254089,0.671765,0.708824
139,0.9919,183.026154,0.670294,0.708824
140,1.0030,180.816864,0.677353,0.714706
141,1.0142,178.356522,0.673824,0.714706
142,1.0253,176.741470,0.674118,0.714706
143,1.0364,175.898102,0.672353,0.714706
144,1.0476,173.670944,0.677941,0.714706
145,1.0587,171.812347,0.677941,0.720588
146,1.0698,168.156937,0.683235,0.720588
147,1.0810,166.531677,0.684706,0.720588
148,1.0921,164.530930,0.685588,0.720588
149,1.1032,163.115646,0.688529,0.720588
150,1.1144,158.611252,0.687941,0.720588
151,1.1255,157.201141,0.688529,0.720588
152,1.1366,156.010788,0.687647,0.720588
153,1.1478,153.524094,0.687941,0.720588
154,1.1589,152.602875,0.687647,0.720588
155,1.1700,149.675812,0.692059,0.720588
156,1.1812,146.925095,0.695588,0.720588
157,1.1923,146.014603,0.694412,0.720588
158,1.2034,142.506744,0.697353,0.720588
159,1.2146,140.679596,0.696765,0.720588
160,1.2257,139.154068,0.696471,0.720588
161,1.2368,137.580811,0.695882,0.720588
162,1.2480,136.094269,0.699412,0.720588
163,1.2591,134.984741,0.699118,0.720588
164,1.2702,131.900696,0.701471,0.720588
165,1.2814,130.649826,0.701176,0.720588
166,1.2925,130.559708,0.699412,0.720588
167,1.3036,127.159851,0.702353,0.720588
