graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.989272,1.0,1.028593,514.17
1,0.978084,1.0,1.016961,479.1
2,0.981337,1.0,1.020343,464.76
3,0.979833,1.0,1.018778,487.94
4,0.984608,1.0,1.023744,483.27
5,0.977536,1.0,1.016391,474.01
6,0.976378,1.0,1.015186,424.22
7,0.985074,1.0,1.024228,478.13
8,0.982926,1.0,1.021995,502.6
9,0.977769,1.0,1.016632,455.49
10,0.981814,1.0,1.020839,490.96
11,0.977422,1.0,1.016273,488.39
12,0.985401,1.0,1.024568,475.39
13,0.98307,1.0,1.022144,472.49
14,0.979475,1.0,1.018407,481.61
15,0.979962,1.0,1.018913,478.24
16,0.9804,1.0,1.019369,512.79
17,0.978171,1.0,1.017051,491.15
18,0.986913,1.0,1.02614,485.06
19,0.986273,1.0,1.025474,493.26
20,0.98061,1.0,1.019587,485.08
21,0.980924,1.0,1.019913,419.76
22,0.977998,1.0,1.016871,465.77
23,0.981481,1.0,1.020492,453.99
24,0.983833,1.0,1.022938,476.18
25,0.986338,1.0,1.025542,455.46
26,0.978819,1.0,1.017724,482.35
27,0.975964,1.0,1.014756,458.64
28,0.978417,1.0,1.017306,508.27
29,0.984076,1.0,1.02319,507.15
30,0.981905,1.0,1.020933,434.61
31,0.985654,1.0,1.024832,476.06
32,0.982213,1.0,1.021253,457.68
33,0.987911,1.0,1.027178,474.4
34,0.976323,1.0,1.015129,482.24
35,0.973048,1.0,1.011724,438.55
36,0.986961,1.0,1.02619,445.69
37,0.979182,1.0,1.018102,448.61
38,0.98256,1.0,1.021615,455.58
39,0.982549,1.0,1.021603,456.27
40,0.983245,1.0,1.022327,487.16
41,0.980348,1.0,1.019314,473.71
42,0.978617,1.0,1.017514,448.09
43,0.978327,1.0,1.017213,461.01
44,0.984247,1.0,1.023369,412.99
45,0.984855,1.0,1.024,515.81
46,0.981157,1.0,1.020156,468.92
47,0.979902,1.0,1.018851,491.75
48,0.984121,1.0,1.023237,487.08
49,0.976699,1.0,1.015521,467.66
