graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.755974,0.991678,1.002920,14.62
1,0.892519,1.170796,1.184069,11.96
2,0.600295,0.787460,0.796388,12.77
3,0.788395,1.034207,1.045932,12.70
4,0.701131,0.919736,0.930163,11.63
5,0.862286,1.131137,1.143960,11.84
6,0.798351,1.047267,1.059140,11.85
7,0.737680,0.967681,0.978651,12.50
8,0.763912,1.002091,1.013452,11.87
9,0.764917,1.003409,1.014785,12.22
10,0.734692,0.963760,0.974686,12.33
11,0.752865,0.987600,0.998797,12.64
12,0.759840,0.996750,1.008050,12.30
13,0.709288,0.930436,0.940984,11.34
14,0.727949,0.954916,0.965742,11.52
15,0.740900,0.971904,0.982922,12.26
16,0.869431,1.140510,1.153440,11.81
17,0.785414,1.030298,1.041978,12.62
18,0.780197,1.023453,1.035056,12.23
19,0.775825,1.017718,1.029256,13.00
20,0.747419,0.980456,0.991571,11.92
21,0.640560,0.840280,0.849806,11.24
22,0.778632,1.021401,1.032981,11.85
23,0.822705,1.079215,1.091450,11.65
24,0.703649,0.923039,0.933503,11.55
25,0.703263,0.922532,0.932991,11.78
26,0.788244,1.034010,1.045732,12.07
27,0.759057,0.995723,1.007011,12.71
28,0.686376,0.900380,0.910588,11.69
29,0.838522,1.099963,1.112433,12.24
30,0.772629,1.013526,1.025016,11.28
31,0.775651,1.017490,1.029026,11.95
32,0.703739,0.923158,0.933623,11.90
33,0.860507,1.128803,1.141600,12.06
34,0.782160,1.026028,1.037660,11.62
35,0.700366,0.918733,0.929148,11.90
36,0.748707,0.982145,0.993280,11.62
37,0.666096,0.873777,0.883683,12.17
38,0.809639,1.062075,1.074116,11.83
39,0.822590,1.079064,1.091297,12.15
40,0.768606,1.008249,1.019679,12.40
41,0.865642,1.135540,1.148413,11.40
42,0.719385,0.943681,0.954380,12.21
43,0.759222,0.995939,1.007229,12.37
44,0.863411,1.132612,1.145453,11.82
45,0.775440,1.017214,1.028746,12.14
46,0.732328,0.960660,0.971551,12.21
47,0.677457,0.888681,0.898756,12.34
48,0.805919,1.057195,1.069180,12.06
49,0.732184,0.960470,0.971359,11.65
