graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.880685,1.107284,1.116125,23.97
1,0.700334,0.880530,0.887560,22.59
2,0.788356,0.991199,0.999113,23.54
3,0.811508,1.020308,1.028455,23.01
4,0.820066,1.031068,1.039300,23.91
5,0.833998,1.048585,1.056957,24.09
6,0.743165,0.934380,0.941840,24.20
7,0.746766,0.938908,0.946404,23.65
8,0.809831,1.018199,1.026329,23.95
9,0.829640,1.043106,1.051434,25.43
10,0.715088,0.899079,0.906257,41.16
11,0.849061,1.067524,1.076047,41.50
12,0.832096,1.046194,1.054547,41.21
13,0.914412,1.149689,1.158868,40.26
14,0.851373,1.070430,1.078976,42.49
15,0.787715,0.990394,0.998301,42.90
16,0.839754,1.055821,1.064251,42.47
17,0.840799,1.057136,1.065576,43.83
18,0.715479,0.899571,0.906753,42.77
19,0.850145,1.068887,1.077421,42.94
20,0.770818,0.969149,0.976887,43.18
21,0.669130,0.841297,0.848014,42.25
22,0.788201,0.991004,0.998916,43.61
23,0.699050,0.878915,0.885932,43.76
24,0.778245,0.978486,0.986299,42.82
25,0.857004,1.077511,1.086113,43.64
26,0.740439,0.930953,0.938386,42.96
27,0.854192,1.073975,1.082550,43.31
28,0.814472,1.024035,1.032211,42.43
29,0.763222,0.959598,0.967259,42.98
30,0.751306,0.944616,0.952158,43.11
31,0.822871,1.034596,1.042856,43.68
32,0.787671,0.990338,0.998245,42.59
33,0.789125,0.992167,1.000088,43.50
34,0.754752,0.948949,0.956525,43.75
35,0.767006,0.964355,0.972055,43.13
36,0.832359,1.046524,1.054879,43.53
37,0.755871,0.950356,0.957944,44.02
38,0.817790,1.028206,1.036415,42.55
39,0.819187,1.029963,1.038186,44.19
40,0.775822,0.975441,0.983229,43.18
41,0.742053,0.932983,0.940432,41.96
42,0.695364,0.874280,0.881260,42.89
43,0.766732,0.964012,0.971709,43.77
44,0.823982,1.035992,1.044263,48.59
45,0.812872,1.022024,1.030183,42.94
46,0.834435,1.049135,1.057511,42.84
47,0.860938,1.082457,1.091099,41.53
48,0.808102,1.016026,1.024138,41.25
49,0.796668,1.001650,1.009647,40.82
