graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.657917,0.981953,0.990925,13.77
1,0.675223,1.007784,1.016992,9.23
2,0.666267,0.994417,1.003503,9.43
3,0.607615,0.906876,0.915163,9.85
4,0.695297,1.037743,1.047226,6.92
5,0.572059,0.853809,0.861610,5.89
6,0.765827,1.143010,1.153454,6.21
7,0.731501,1.091779,1.101755,5.54
8,0.681444,1.017068,1.026362,5.81
9,0.632711,0.944332,0.952961,5.84
10,0.797913,1.190900,1.201781,5.79
11,0.663516,0.990310,0.999359,6.09
12,0.765516,1.142547,1.152986,5.64
13,0.723781,1.080257,1.090128,5.59
14,0.693872,1.035616,1.045079,5.75
15,0.638304,0.952681,0.961386,5.86
16,0.597284,0.891458,0.899603,5.80
17,0.593830,0.886303,0.894401,5.82
18,0.856382,1.278166,1.289845,9.68
19,0.569042,0.849306,0.857067,7.41
20,0.857372,1.279643,1.291336,5.83
21,0.754455,1.126037,1.136326,5.68
22,0.611086,0.912057,0.920390,5.58
23,0.533555,0.796341,0.803617,5.73
24,0.582929,0.870032,0.877982,5.46
25,0.577457,0.861866,0.869741,5.69
26,0.628194,0.937591,0.946158,5.86
27,0.861378,1.285622,1.297369,6.82
28,0.736226,1.098831,1.108872,8.18
29,0.651511,0.972392,0.981278,8.75
30,0.651451,0.972303,0.981187,9.47
31,0.531871,0.793827,0.801081,8.63
32,0.713598,1.065058,1.074790,9.26
33,0.622590,0.929227,0.937718,9.78
34,0.604011,0.901498,0.909735,10.10
35,0.638602,0.953125,0.961834,10.17
36,0.771884,1.152052,1.162578,9.59
37,0.659494,0.984307,0.993301,10.18
38,0.484422,0.723008,0.729615,9.87
39,0.685157,1.022610,1.031954,10.55
40,0.606082,0.904589,0.912854,10.25
41,0.690334,1.030336,1.039751,11.10
42,0.729402,1.088647,1.098594,11.02
43,0.576584,0.860562,0.868425,10.93
44,0.687098,1.025507,1.034877,9.69
45,0.704259,1.051119,1.060724,9.97
46,0.710210,1.060001,1.069687,10.68
47,0.540030,0.806005,0.813370,10.46
48,0.689005,1.028353,1.037749,8.42
49,0.824874,1.231139,1.242389,9.75
