graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.799656,1.0,1.030923,225.28
1,0.783504,1.0,1.0101,221.84
2,0.834248,1.0,1.075519,213.66
3,0.799434,1.0,1.030636,232.73
4,0.777385,1.0,1.002211,242.86
5,0.779483,1.0,1.004916,243.82
6,0.784521,1.0,1.011411,248.54
7,0.769651,1.0,0.99224,233.73
8,0.827543,1.0,1.066875,239.68
9,0.790799,1.0,1.019505,248.48
10,0.760418,1.0,0.980337,243.93
11,0.7974,1.0,1.028015,231.43
12,0.821665,1.0,1.059297,241.97
13,0.812788,1.0,1.047853,214.75
14,0.770057,1.0,0.992764,238.4
15,0.76186,1.0,0.982196,231.03
16,0.82139,1.0,1.058943,256.5
17,0.749767,1.0,0.966605,226.75
18,0.796596,1.0,1.026978,239.79
19,0.774547,1.0,0.998552,233.29
20,0.818722,1.0,1.055503,231.75
21,0.763135,1.0,0.98384,242.9
22,0.769197,1.0,0.991654,233.42
23,0.802372,1.0,1.034424,260.48
24,0.806561,1.0,1.039825,214.86
25,0.8198,1.0,1.056893,245.92
26,0.79899,1.0,1.030064,237.39
27,0.796093,1.0,1.026329,237.8
28,0.812513,1.0,1.047499,242.0
29,0.755721,1.0,0.974282,250.29
30,0.767244,1.0,0.989137,241.56
31,0.757688,1.0,0.976818,250.34
32,0.724856,1.0,0.93449,238.95
33,0.807656,1.0,1.041236,226.07
34,0.821445,1.0,1.059014,237.34
35,0.80094,1.0,1.032578,252.14
36,0.796811,1.0,1.027255,233.5
37,0.789884,1.0,1.018325,225.49
38,0.789184,1.0,1.017423,245.78
39,0.827678,1.0,1.067049,242.41
40,0.82425,1.0,1.06263,229.21
41,0.774159,1.0,0.998052,235.62
42,0.813914,1.0,1.049305,236.23
43,0.816745,1.0,1.052955,238.48
44,0.803155,1.0,1.035434,246.11
45,0.796987,1.0,1.027482,233.57
46,0.796182,1.0,1.026444,246.72
47,0.753107,1.0,0.970911,232.04
48,0.751025,1.0,0.968228,258.26
49,0.806274,1.0,1.039455,258.52
