step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,570.051697,-0.003250,0.165000
1,0.0010,569.230957,-0.006500,0.815000
2,0.0010,571.062805,0.011750,0.815000
3,0.0010,571.700745,-0.010500,0.815000
4,0.0010,571.673096,0.005500,0.815000
5,0.0010,572.279724,-0.003750,0.815000
6,0.0010,572.656799,-0.003750,0.815000
7,0.0010,570.196472,-0.023750,0.815000
8,0.0010,569.284607,0.009250,0.815000
9,0.0010,570.650818,-0.011750,0.815000
10,0.0010,570.548523,-0.012750,0.815000
11,0.0010,570.937866,-0.007750,0.815000
12,0.0010,569.650330,0.005250,0.815000
13,0.0010,572.793396,-0.000750,0.815000
14,0.0010,571.954956,0.010250,0.815000
15,0.0010,571.587524,0.004500,0.815000
16,0.0010,572.565857,-0.009500,0.815000
17,0.0010,572.376404,0.007000,0.815000
18,0.0010,572.971863,0.011250,0.815000
19,0.0010,570.721313,-0.001750,0.815000
20,0.0010,570.651001,0.004750,0.815000
21,0.0010,572.752991,0.005250,0.815000
22,0.0010,572.139282,0.017750,0.815000
23,0.0010,570.750488,-0.014250,0.815000
24,0.0010,571.931763,-0.002250,0.815000
25,0.0010,570.448547,0.001250,0.815000
26,0.0010,571.913513,0.003750,0.815000
27,0.0010,572.320068,-0.004250,0.815000
28,0.0010,571.624023,0.006000,0.815000
29,0.0010,570.518555,-0.002000,0.815000
30,0.0010,571.949097,-0.001500,0.815000
31,0.0010,571.781433,-0.003000,0.815000
32,0.0010,572.354187,0.003500,0.815000
33,0.0010,571.387024,0.004000,0.815000
34,0.0010,573.734985,0.014750,0.815000
35,0.0010,570.294373,-0.003250,0.815000
36,0.0010,570.841797,-0.019000,0.815000
37,0.0010,571.636230,0.003500,0.815000
38,0.0010,574.214111,0.001750,0.815000
39,0.0010,572.664062,0.004750,0.815000
40,0.0010,573.283447,0.008000,0.815000
41,0.0010,570.691040,0.017750,0.815000
42,0.0010,574.300110,0.012250,0.815000
43,0.0010,571.462891,0.016500,0.815000
44,0.0010,571.348572,0.008750,0.815000
45,0.0010,573.878845,-0.001250,0.815000
46,0.0010,570.965820,-0.000750,0.815000
47,0.0010,572.086853,0.011250,0.815000
48,0.0010,569.866394,0.004750,0.815000
49,0.0010,572.462830,0.005000,0.815000
50,0.0010,575.362244,-0.003500,0.815000
51,0.0121,570.976440,0.003500,0.815000
52,0.0233,571.023560,0.030250,0.815000
53,0.0344,570.128113,0.034250,0.815000
54,0.0455,574.412903,0.050000,0.815000
55,0.0567,572.255005,0.056500,0.815000
56,0.0678,573.933289,0.054500,0.815000
57,0.0789,573.208496,0.095500,0.815000
58,0.0901,574.652283,0.094500,0.815000
59,0.1012,574.707336,0.098250,0.815000
60,0.1123,571.461609,0.117000,0.815000
61,0.1235,574.309753,0.124000,0.815000
62,0.1346,574.350281,0.143000,0.815000
63,0.1457,571.639038,0.129500,0.815000
64,0.1569,573.735046,0.166000,0.815000
65,0.1680,573.929871,0.145000,0.815000
66,0.1791,574.437927,0.180000,0.815000
67,0.1903,572.241516,0.195250,0.815000
68,0.2014,569.559082,0.201500,0.815000
69,0.2125,571.040100,0.211000,0.815000
70,0.2237,572.987000,0.227500,0.815000
71,0.2348,573.561096,0.222750,0.815000
72,0.2459,573.818054,0.258750,0.815000
73,0.2571,573.908997,0.251750,0.815000
74,0.2682,570.400818,0.273500,0.815000
75,0.2793,573.641663,0.289500,0.815000
76,0.2905,572.044434,0.272250,0.815000
77,0.3016,571.825623,0.294250,0.815000
78,0.3127,570.795227,0.312250,0.815000
79,0.3239,574.300964,0.311750,0.815000
80,0.3350,572.857117,0.326000,0.815000
81,0.3461,572.812195,0.337750,0.815000
82,0.3573,573.586853,0.336000,0.815000
83,0.3684,571.959412,0.352750,0.815000
84,0.3795,572.357727,0.354500,0.815000
85,0.3907,571.757263,0.365750,0.815000
86,0.4018,570.718933,0.383250,0.815000
87,0.4129,572.180176,0.383500,0.815000
88,0.4241,573.887878,0.414000,0.815000
89,0.4352,573.315063,0.402750,0.815000
90,0.4463,571.398254,0.429500,0.815000
91,0.4575,574.842224,0.426250,0.815000
92,0.4686,576.230469,0.441750,0.815000
93,0.4797,572.646545,0.446750,0.815000
94,0.4909,573.073914,0.457750,0.815000
95,0.5020,571.243103,0.473500,0.815000
96,0.5131,572.095215,0.483500,0.815000
97,0.5243,574.420532,0.487500,0.815000
98,0.5354,571.950623,0.489500,0.815000
99,0.5465,574.836060,0.494250,0.815000
