graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.990000,1.024103,1.024103,899.86
1,0.990000,1.024103,1.024103,1035.20
2,0.995000,1.029275,1.029275,185.26
3,0.990000,1.024103,1.024103,178.86
4,0.990000,1.024103,1.024103,175.77
5,0.990000,1.024103,1.024103,177.05
6,0.985000,1.018930,1.018930,200.77
7,0.995000,1.029275,1.029275,179.36
8,0.985000,1.018930,1.018930,180.06
9,0.990000,1.024103,1.024103,174.61
10,0.985000,1.018930,1.018930,170.20
11,0.995000,1.029275,1.029275,179.30
12,0.985000,1.018930,1.018930,182.21
13,0.990000,1.024103,1.024103,177.39
14,0.990000,1.024103,1.024103,175.70
15,0.990000,1.024103,1.024103,178.60
16,0.990000,1.024103,1.024103,176.37
17,1.000000,1.034447,1.034447,176.76
18,0.995000,1.029275,1.029275,177.52
19,0.990000,1.024103,1.024103,176.26
20,0.990000,1.024103,1.024103,170.35
21,0.990000,1.024103,1.024103,175.05
22,0.990000,1.024103,1.024103,176.68
23,0.990000,1.024103,1.024103,177.21
24,0.990000,1.024103,1.024103,553.55
25,0.990000,1.024103,1.024103,1308.65
26,0.990000,1.024103,1.024103,650.24
27,0.995000,1.029275,1.029275,183.03
28,0.990000,1.024103,1.024103,184.57
29,0.990000,1.024103,1.024103,182.37
30,0.995000,1.029275,1.029275,181.87
31,0.990000,1.024103,1.024103,185.56
32,0.990000,1.024103,1.024103,183.13
33,0.985000,1.018930,1.018930,176.51
34,0.995000,1.029275,1.029275,182.36
35,0.985000,1.018930,1.018930,174.76
36,0.995000,1.029275,1.029275,173.48
37,0.990000,1.024103,1.024103,176.24
38,0.995000,1.029275,1.029275,176.25
39,0.990000,1.024103,1.024103,177.30
40,0.990000,1.024103,1.024103,174.23
41,0.990000,1.024103,1.024103,175.40
42,0.990000,1.024103,1.024103,177.71
43,0.990000,1.024103,1.024103,176.03
44,0.985000,1.018930,1.018930,179.19
45,0.995000,1.029275,1.029275,174.15
46,0.990000,1.024103,1.024103,177.46
47,1.000000,1.034447,1.034447,175.74
48,0.990000,1.024103,1.024103,176.18
49,0.990000,1.024103,1.024103,174.15
