step,beta,loss,buf_mean_E,buf_best_E
0,0.0010,125.302872,0.024444,0.211111
1,0.0010,125.823013,-0.017222,0.700000
2,0.0010,125.451927,-0.012778,0.700000
3,0.0010,125.761162,0.000556,0.700000
4,0.0010,125.732361,0.015556,0.700000
5,0.0010,125.124512,-0.002778,0.700000
6,0.0010,126.063736,-0.002778,0.700000
7,0.0010,125.222633,0.014444,0.700000
8,0.0010,125.489983,0.005556,0.700000
9,0.0010,125.687294,0.010000,0.700000
10,0.0010,125.546021,0.018889,0.700000
11,0.0010,125.766533,-0.005556,0.700000
12,0.0010,125.106117,0.007778,0.700000
13,0.0010,125.460258,-0.008333,0.700000
14,0.0010,125.101463,-0.013889,0.700000
15,0.0010,126.110817,-0.004444,0.700000
16,0.0010,125.747490,-0.003333,0.700000
17,0.0010,125.093933,-0.006111,0.700000
18,0.0010,125.334717,0.007778,0.700000
19,0.0010,125.146790,0.008889,0.700000
20,0.0010,125.342918,-0.002778,0.700000
21,0.0010,125.539307,-0.005556,0.700000
22,0.0010,125.502724,-0.009444,0.700000
23,0.0010,125.842117,-0.012222,0.700000
24,0.0010,125.201294,0.001667,0.700000
25,0.0010,125.232262,0.005000,0.700000
26,0.0010,125.725151,-0.005556,0.700000
27,0.0010,125.267235,0.015000,0.700000
28,0.0010,126.186073,0.007222,0.700000
29,0.0010,125.495995,0.020000,0.700000
30,0.0010,125.759941,-0.007222,0.700000
31,0.0010,125.679886,0.008889,0.700000
32,0.0010,125.445366,-0.002778,0.700000
33,0.0010,126.491386,0.005000,0.700000
34,0.0010,125.795403,-0.006111,0.700000
35,0.0010,125.608948,-0.002222,0.700000
36,0.0010,125.900200,-0.006111,0.700000
37,0.0010,126.112305,-0.013889,0.700000
38,0.0010,125.396416,-0.007222,0.700000
39,0.0010,125.803734,0.004444,0.700000
40,0.0010,125.943176,0.006667,0.700000
41,0.0010,125.138329,0.008333,0.700000
42,0.0010,125.762917,0.003333,0.700000
43,0.0010,125.542900,0.003889,0.700000
