graph_id,made_best_E,ratio_vs_xlsx_gurobi_mean,ratio_vs_xlsx_sa_mean,time_s
0,0.733333,0.990396,1.025163,39.37
1,0.733333,0.990396,1.025163,23.12
2,0.744444,1.005402,1.040696,38.73
3,0.744444,1.005402,1.040696,40.88
4,0.738889,0.997899,1.032929,40.35
5,0.738889,0.997899,1.032929,40.16
6,0.727778,0.982893,1.017397,39.88
7,0.733333,0.990396,1.025163,39.81
8,0.738889,0.997899,1.032929,40.48
9,0.727778,0.982893,1.017397,40.74
10,0.722222,0.975390,1.009630,40.29
11,0.744444,1.005402,1.040696,41.19
12,0.738889,0.997899,1.032929,40.64
13,0.738889,0.997899,1.032929,39.19
14,0.733333,0.990396,1.025163,38.65
15,0.733333,0.990396,1.025163,37.52
16,0.766667,1.035414,1.071761,39.17
17,0.733333,0.990396,1.025163,38.03
18,0.727778,0.982893,1.017397,38.68
19,0.727778,0.982893,1.017397,37.26
20,0.738889,0.997899,1.032929,38.00
21,0.750000,1.012905,1.048462,38.19
22,0.727778,0.982893,1.017397,39.02
23,0.733333,0.990396,1.025163,39.40
24,0.761111,1.027911,1.063995,39.38
25,0.733333,0.990396,1.025163,38.27
26,0.738889,0.997899,1.032929,38.88
27,0.738889,0.997899,1.032929,38.49
28,0.722222,0.975390,1.009630,38.22
29,0.761111,1.027911,1.063995,39.33
30,0.744444,1.005402,1.040696,41.16
31,0.738889,0.997899,1.032929,41.71
32,0.722222,0.975390,1.009630,39.69
33,0.744444,1.005402,1.040696,42.33
34,0.733333,0.990396,1.025163,40.69
35,0.744444,1.005402,1.040696,22.16
36,0.738889,0.997899,1.032929,22.21
37,0.744444,1.005402,1.040696,21.54
38,0.722222,0.975390,1.009630,22.02
39,0.744444,1.005402,1.040696,21.98
40,0.722222,0.975390,1.009630,22.06
41,0.755556,1.020408,1.056229,22.32
42,0.744444,1.005402,1.040696,24.09
43,0.744444,1.005402,1.040696,23.92
44,0.711111,0.960384,0.994098,23.71
45,0.738889,0.997899,1.032929,24.73
46,0.738889,0.997899,1.032929,22.69
47,0.727778,0.982893,1.017397,22.30
48,0.733333,0.990396,1.025163,23.14
49,0.727778,0.982893,1.017397,23.36
